"lang"
{
"Language"	"spanish"
"Tokens"
{
"addon_game_name"	"Despertar Dire"
"[english]addon_game_name"	"Diretide"
"DOTA_GameMode_15"	"Despertar Dire"
"[english]DOTA_GameMode_15"	"Diretide"
"DOTA_GameMode_19"	"Despertar Dire"
"[english]DOTA_GameMode_19"	"Diretide"
"buy_spooky_tp"	"Comprar Pergamino de Teletransporte Terrorífico"
"[english]buy_spooky_tp"	"Buy Spooky TP Scroll"
"buy_spooky_tp_description"	"¡Vuélvete inquietantemente poderoso e invade el lado del equipo enemigo en el mapa!"
"[english]buy_spooky_tp_description"	"Become hauntingly powerful and invade the enemy team's side of the map!"
"spawn_enemy_wave"	"Hacer aparecer monstruos"
"[english]spawn_enemy_wave"	"Spawn Monsters"
"spawn_enemy_wave_description"	"¡Envía una oleada de los monstruos actuales a tus oponentes!"
"[english]spawn_enemy_wave_description"	"Send a wave of the current monsters at your opponents!"
"rosh_trick_or_treat"	"Truco o Trato de Roshan"
"[english]rosh_trick_or_treat"	"Roshan Trick Or Treat"
"rosh_trick_or_treat_description"	"¡Envía a Roshan a que haga truco o trato a un héroe enemigo aleatorio! Arrebata sus caramelos... ¡o su VIDA!"
"[english]rosh_trick_or_treat_description"	"Send Roshan to Trick or Treat from a random enemy hero!  He takes their taffy.. or their LIFE!"
"DOTA_HUD_RoshanTrickOrTreat_Toast"	"¡{s:player_name} ha enviado a Roshan a por truco o trato!"
"[english]DOTA_HUD_RoshanTrickOrTreat_Toast"	"{s:player_name} sent Roshan trick or treating!"
"DOTA_HUD_RoshanTrickOrTreat_Target_Toast"	"¡Roshan ahora tiene como objetivo a {s:player_name}!"
"[english]DOTA_HUD_RoshanTrickOrTreat_Target_Toast"	"Roshan is now targeting {s:player_name}!"
"DOTA_HUD_PlayerInvasion_Toast"	"¡{s:player_name} ha invadido al equipo enemigo!"
"[english]DOTA_HUD_PlayerInvasion_Toast"	"{s:player_name} has invaded the enemy team!"
"DOTA_HUD_RoshanAttackRadiant_Toast"	"¡Los Dire han recogido suficientes caramelos y mandan a Roshan a atacar a los Radiant!"
"[english]DOTA_HUD_RoshanAttackRadiant_Toast"	"The Dire collected enough taffy! Roshan has been unleashed to attack The Radiant!"
"DOTA_HUD_RoshanAttackDire_Toast"	"¡Los Radiant han recogido suficientes caramelos y mandan a Roshan a atacar a los Dire!"
"[english]DOTA_HUD_RoshanAttackDire_Toast"	"The Radiant collected enough taffy! Roshan has been unleashed to attack The Dire!"
"DOTA_HUD_SpookyTPUsed_Toast"	"¡{s:player_name} está invadiendo al equipo enemigo a través de un portal!"
"[english]DOTA_HUD_SpookyTPUsed_Toast"	"{s:player_name} is invading the enemy team through a portal!"
"DOTA_HUD_PortalUnlocked_Toast"	"¡{s:player_name} ha abierto un portal para su equipo!"
"[english]DOTA_HUD_PortalUnlocked_Toast"	"{s:player_name} unlocked a portal for their team!"
"DOTA_HUD_PortalUnlockedGood_Toast"	"¡Los Radiant han abierto un portal para su equipo!"
"[english]DOTA_HUD_PortalUnlockedGood_Toast"	"The Radiant unlocked a portal for their team!"
"DOTA_HUD_PortalUnlockedBad_Toast"	"¡Los Dire han abierto un portal para su equipo!"
"[english]DOTA_HUD_PortalUnlockedBad_Toast"	"The Dire unlocked a portal for their team!"
"DOTA_HUD_RuneSpawned_Toast"	"¡{s:player_name} ha hecho aparecer una runa para su equipo!"
"[english]DOTA_HUD_RuneSpawned_Toast"	"{s:player_name} spawned a rune for their team!"
"DOTA_HUD_CandyBucketVulnerableGood_Toast"	"¡El cubo de la base Radiant es ahora vulnerable!"
"[english]DOTA_HUD_CandyBucketVulnerableGood_Toast"	"The Radiant's Home Bucket is now vulnerable!"
"DOTA_HUD_CandyBucketVulnerableBad_Toast"	"¡El cubo de la base Dire es ahora vulnerable!"
"[english]DOTA_HUD_CandyBucketVulnerableBad_Toast"	"The Dire's Home Bucket is now vulnerable!"
"DOTA_HUD_RoshanCursedGoodTeam_Toast"	"¡Los Radiant han sido maldecidos por no alimentar a Roshan!"
"[english]DOTA_HUD_RoshanCursedGoodTeam_Toast"	"Radiant cursed for not feeding Roshan!"
"DOTA_HUD_RoshanCursedBadTeam_Toast"	"¡Los Dire han sido maldecidos por no alimentar a Roshan!"
"[english]DOTA_HUD_RoshanCursedBadTeam_Toast"	"Dire cursed for not feeding Roshan!"
"DOTA_HUD_ScarecrowStashRespawn"	"¡Los Espantapájaros han vuelto a aparecer!"
"[english]DOTA_HUD_ScarecrowStashRespawn"	"The Scarecrow Stashes have respawned!"
"DOTA_diretide_gameplay_tips_count"	"CONSEJO {d:current_tip_num} de {d:num_tips}"
"[english]DOTA_diretide_gameplay_tips_count"	"TIP {d:current_tip_num} / {d:num_tips}"
"DOTA_diretide_gameplay_tips_text"	"{s:tip_text}"
"[english]DOTA_diretide_gameplay_tips_text"	"{s:tip_text}"
"DOTA_diretide_gameplay_tip_00"	"Puedes tirar todo tu alijo de caramelos a un aliado apuntando hacia él con la habilidad Bolsa de Caramelos."
"[english]DOTA_diretide_gameplay_tip_00"	"You can throw your entire stash of Taffy to an ally by targeting them with the Taffy Bucket ability."
"DOTA_diretide_gameplay_tip_01"	"Tu vida máxima se reduce en un pequeño porcentaje por cada caramelo que llevas."
"[english]DOTA_diretide_gameplay_tip_01"	"Your maximum health is decreased by a small percentage for each taffy that you are carrying."
"DOTA_diretide_gameplay_tip_02"	"¡Asestar el último golpe en un creep que lleve un caramelo hará que lo lance hacia ti!"
"[english]DOTA_diretide_gameplay_tip_02"	"Getting the last hit on a creep that's holding taffy will launch the taffy to you!"
"DOTA_diretide_gameplay_tip_03"	"¡Cada ronda tiene creeps diferentes! Conoce sus puntos fuertes y debilidades."
"[english]DOTA_diretide_gameplay_tip_03"	"Each round has different creeps! Get to know their strengths and weaknesses."
"DOTA_diretide_gameplay_tip_04"	"Todo tu equipo gana oro y EXP a medida que los creeps son derrotados."
"[english]DOTA_diretide_gameplay_tip_04"	"Your entire team earns gold and xp as creeps are defeated."
"DOTA_diretide_gameplay_tip_05"	"Los Espantapájaros contienen un montón de caramelos y objetos neutrales."
"[english]DOTA_diretide_gameplay_tip_05"	"Scarecrow Stashes contain lots of taffy and neutral items."
"DOTA_diretide_gameplay_tip_06"	"Dos Espantapájaros aparecen en los minutos 1, 3 y 5 de cada ronda en las ubicaciones norte y sur del mapa."
"[english]DOTA_diretide_gameplay_tip_06"	"Two Scarecrow Stashes spawn at minutes 1, 3, and 5 of each round at the north and south locations on the map."
"DOTA_diretide_gameplay_tip_13"	"La maldición de Roshan drena poderosamente tu vida, ¡pero no es letal!"
"[english]DOTA_diretide_gameplay_tip_13"	"Roshan’s curse is a powerful drain on your health, but it’s not fatal!"
"DOTA_diretide_gameplay_tip_14"	"Los Guardianes de los Caramelos pueden ser asesinados y no volverán a aparecer hasta el final de la ronda."
"[english]DOTA_diretide_gameplay_tip_14"	"Taffy Guardians can be killed and will not respawn until the end of the round."
"DOTA_diretide_gameplay_tip_15"	"Los Guardianes Centinela se reabastecen entre rondas."
"[english]DOTA_diretide_gameplay_tip_15"	"Sentry wards restock in-between rounds."
"DOTA_diretide_gameplay_tip_16"	"El cubo de tu base no puede ser atacado hasta que uno de tus pozos de caramelos sea destruido."
"[english]DOTA_diretide_gameplay_tip_16"	"Your home bucket cannot be attacked until one of your Taffy Wells is destroyed."
"DOTA_diretide_gameplay_tip_17"	"Atacar el cubo de la base enemiga extraerá caramelos de él."
"[english]DOTA_diretide_gameplay_tip_17"	"Attacking the enemy’s home bucket will extract taffy from it."
"DOTA_diretide_gameplay_tip_18"	"Hay 3 tiendas en el mapa; puedes comprar objetos y acceder a objetos neutrales en ellas."
"[english]DOTA_diretide_gameplay_tip_18"	"There are 3 shops on the map. You can buy items and access neutral items from these shops."
"DOTA_diretide_gameplay_tip_25"	"Tu equipo tiene una activación del Glifo de Fortificación por ronda. ¡Úsala sabiamente!"
"[english]DOTA_diretide_gameplay_tip_25"	"Your team has one activation of the glyph of fortification per round. Use it wisely!"
"DOTA_diretide_gameplay_tip_28"	"El número de ronda corresponde a la categoría de los objetos neutrales que se obtendrán de los Espantapájaros."
"[english]DOTA_diretide_gameplay_tip_28"	"The round number corresponds to the tier of neutral items that will drop from Scarecrow Stashes."
"DOTA_Holdout_Round_Skeletons"	"Esqueletoneladas de diversión"
"[english]DOTA_Holdout_Round_Skeletons"	"Skele-tons of Fun"
"DOTA_Holdout_Round_Hulks"	"Monstruos de las profundidades"
"[english]DOTA_Holdout_Round_Hulks"	"Monsters From The Deep"
"DOTA_Holdout_Round_Ghosts"	"Fantasmas espeluznantes"
"[english]DOTA_Holdout_Round_Ghosts"	"Spooky Ghosts"
