"lang"
{ 
	"Language" "portuguese" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"de vida"					// $health
		"dota_ability_variable_mana"				"de mana"						// $mana
		"dota_ability_variable_armor"				"de armadura"						// $armor
		"dota_ability_variable_damage"				"de dano"					// $damage
		"dota_ability_variable_str"					"de Força"					// $str
		"dota_ability_variable_int"					"de Inteligência"				// $int
		"dota_ability_variable_agi"					"de Agilidade"					// $agi
		"dota_ability_variable_all"					"a todos os atributos"			// $all
		"dota_ability_variable_primary_attribute"	"ao atributo principal"			// $primary_attribute
		"dota_ability_variable_attack"				"de rapidez de ataque"				// $attack
		"dota_ability_variable_hp_regen"			"de regeneração de vida"		// $hp_regen
		"dota_ability_variable_lifesteal"			"de roubo de vida"					// $lifesteal
		"dota_ability_variable_mana_regen"			"de regeneração de mana"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"de regeneração de mana (aura)"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"de dano de feitiços"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"à duração de debuffs"			// $debuff_amp
		"dota_ability_variable_move_speed"			"de rapidez de movimento"			// $move_speed
		"dota_ability_variable_evasion"				"de evasão"					// $evasion
		"dota_ability_variable_spell_resist"		"de resistência a magia"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"de roubo de vida por habilidades"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"de roubo de vida por habilidades (creeps)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"de roubo de vida por habilidades (heróis)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"ao atributo selecionado"		// $selected_attribute
		"dota_ability_variable_attack_range"		"de alcance de ataque <font color='#7d7d7d'>(Só à distância)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"de alcance de ataque <font color='#7d7d7d'>(Só corpo a corpo)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"de alcance de uso"				// $cast_range
		"dota_ability_variable_status_resist"		"de resistência a debuffs"			// $status_resist
		"dota_ability_variable_projectile_speed"	"à rapidez dos projéteis"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"de redução dos custos de mana"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"de redução de cooldowns"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"de mana máxima"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"de dano (Heróis de Inteligência)"
		"dota_ability_variable_damage_agi_hero"	"de dano (Heróis de Agilidade)"
		"dota_ability_variable_damage_str_hero"	"de dano (Heróis de Força)"

		//ATTRIBUTES
		"DOTA_Tooltip_ability_attribute_bonus"											"Bónus de atributos"
		"DOTA_Tooltip_ability_attribute_bonus_Description"								"Melhora todos os atributos por cada ponto usado"
		"DOTA_Tooltip_ability_attribute_bonus_attribute_bonus_per_level"				"BÓNUS:"

		"DOTA_Tooltip_Ability_invoker_attribute_bonus"									"Bónus de atributos"
		"DOTA_Tooltip_ability_invoker_attribute_bonus_Description"						"Melhora todos os atributos por cada ponto usado"
		"DOTA_Tooltip_ability_invoker_attribute_bonus_attribute_bonus_per_level"		"BÓNUS:"

		"DOTA_Tooltip_Ability_dota_base_ability_Description"							"Nível de atributo"
		
		//ATTACK
		"DOTA_Tooltip_ability_default_attack"											"Ataques"
		"DOTA_Tooltip_ability_default_attack_Description"								"Dano causado por ataques diretos."
		
		//FOUNTAIN
		"DOTA_Tooltip_ability_fountain_glyph"											"Glifo de Fortificação {s:glyph_hotkey}"
		"DOTA_Tooltip_ability_fountain_glyph_Description"								"Concede invencibilidade aos creeps de lane e edifícios da tua equipa durante 6 segundos. Pode também voltar a ser usado se uma das primeiras torres da lane for destruída."
		"DOTA_Tooltip_ability_fountain_glyph_duration"									"DURAÇÃO:"
		"DOTA_Tooltip_glyph_cooldown_ready"												"Pronto"
		"DOTA_Tooltip_glyph_cooldown"													"Cooldown: %s1"
		"DOTA_Tooltip_ability_fountain_buyback"											"Reviver"
		"DOTA_Tooltip_ability_fountain_buyback_Description"								"Ressuscita o teu herói imediatamente, por um preço."
		"DOTA_Tooltip_ability_fountain_buyback_cost"									"CUSTO:"

		// Radar
		"DOTA_Tooltip_ability_radar"													"Scan {s:scan_hotkey}"
		"DOTA_Tooltip_ability_radar_Description"										"Indica se há heróis inimigos numa área selecionada durante 8 segundos."
		"DOTA_Tooltip_radar_cooldown_ready"												"Pronto"
		"DOTA_Tooltip_radar_cooldown"													"Cooldown: %s1"

		// Courier Tooltip		
		"DOTA_Tooltip_courier_status"													"Estado do Estafeta"
		"DOTA_Tooltip_courier_no_couriers"												"Nenhum estafeta encontrado"
		"DOTA_Tooltip_courier_status_at_base"											"Na base"					// idle at the fountain, or working with the stash
