"lang"
{
"Language"	"thai"
"Tokens"
{
"npc_dota_hero_antimage_bio"	"นักบวชแห่ง Turstarkuri จ้องมองผู้บุกรุกระลอกแล้วระลอกเล่ากำลังโจมตีอาณาจักรที่อยู่ด้านล่างจากอารามที่อยู่บนหุบเขาอันทุรกันดารของพวกเขา การบำเพ็ญตนอย่างเคร่งครัดในอารามอันไกลโพ้นและยากที่จะเข้าถึงทำให้พวกเขาอยู่ห่างจากความวุ่นวายทางโลกและห่อหุ้มตนเองด้วยการทำสมาธิที่ทำให้ไร้การคะนึงถึงพระเจ้าหรือธาตุแห่งเวทมนตรา จนกระทั่งกองทหารแห่ง Dead God ได้มาถึง เหล่านักรบศักดิ์สิทธิ์ที่มาพร้อมคำสั่งชั่วร้ายเพื่อให้เปลี่ยนการเคารพบูชาของชาวพื้นเมืองไปสู่หลักการแห่งความว่างเปล่าที่เป็นดั่งพิษร้ายของจ้าวแห่งความตาย จากภูมิประเทศที่มีแต่เลือดและสงครามมาเป็นเวลาหลายพันปี พวกมันฉีกกระชากวิญญาณและกระดูกของเหล่าทหารแห่งความตายและโยนมันใส่เหล่าผู้นับถือ Turstarkuri อารามยืนหยัดต่อสู้อย่างยากลำบากเป็นเวลาสองอาทิตย์และพวกนักบวชไม่กี่คนที่ตื่นจากการเข้าสมาธิเชื่อว่าผู้บุกรุกเป็นเพียงจินตนาการชั่วร้ายที่มารบกวนการเข้าสมาธิ พวกเขาถูกสังหารบนเบาะไหมพรมของตนเอง มีผู้รอดชีวิตวัยเยาว์แค่เพียงคนเดียว นักแสวงบุญที่มาทำหน้าที่คอยช่วยเหล่านักบวชเพียงแต่ยังไม่ได้รับการยอมรับให้เป็นสมาชิกของอาราม เขาจ้องมองด้วยความหวาดกลัวหวาดกลัวเมื่อได้เห็นนักบวชที่เขาทำหน้าที่รับใช้คอยเติมน้ำชาและตำแยให้ถูกสังหารอย่างโหดเหี้ยม แล้วถูกปลูกให้ฟื้นขึ้นมาเพื่อรับใช้ Dead God เขาหอบคัมภีร์ศึกษาหลักคำสอนของ Turstarkuri ที่มีค่าซึ่งเหลือเพียงไม่กี่เล่ม เล็ดลอดหนีไปยังดินแดนอื่นที่ปลอดภัย พร้อมกับคำสาบานที่ไม่เพียงจะกวาดล้างเหล่านักเวทของ Dead God แต่รวมไปถึงการทำให้เวทมนตร์ทั้งหลายถึงจุดจบในคราเดียวกัน"
"[english]npc_dota_hero_antimage_bio"	"The monks of Turstarkuri watched the rugged valleys below their mountain monastery as wave after wave of invaders swept through the lower kingdoms. Ascetic and pragmatic, in their remote monastic eyrie they remained aloof from mundane strife, wrapped in meditation that knew no gods or elements of magic. Then came the Legion of the Dead God, crusaders with a sinister mandate to replace all local worship with their Unliving Lord's poisonous nihilosophy. From a landscape that had known nothing but blood and battle for a thousand years, they tore the souls and bones of countless fallen legions and pitched them against Turstarkuri. The monastery stood scarcely a fortnight against the assault, and the few monks who bothered to surface from their meditations believed the invaders were but demonic visions sent to distract them from meditation. They died where they sat on their silken cushions. Only one youth survived--a pilgrim who had come as an acolyte, seeking wisdom, but had yet to be admitted to the monastery. He watched in horror as the monks to whom he had served tea and nettles were first slaughtered, then raised to join the ranks of the Dead God's priesthood. With nothing but a few of Turstarkuri's prized dogmatic scrolls, he crept away to the comparative safety of other lands, swearing to obliterate not only the Dead God's magic users--but to put an end to magic altogether. "
"npc_dota_hero_queenofpain_bio"	"สังฆราชาแห่ง Elze ผู้ปรารถนาความเจ็บปวด ความเจ็บปวดอันเป็นสิ่งต้องห้าม ด้วยฐานะทางการเมืองที่ไม่โดดเด่น ความปรารถนาของเขาเป็นแค่เรื่องเพ้อฝัน แต่ถ้าในฐานะผู้นำสูงสุด การสนองกิเลสของตัวเองย่อมทำลายความศักดิ์สิทธิ์ของราชบัลลังก์จนหมดสิ้น ดังนั้นเขาจึงเข้าไปในคุกใต้ดินที่เต็มไปด้วยผู้รู้อสุรศาสตร์ และประกาศจะให้อิสรภาพแก่ผู้ที่สามารถอัญเชิญอสูรสาวแห่งการทรมาน และควบคุมให้มันอยู่ใต้อำนาจของเขาโดยสมบูรณ์ อสูรที่ปรากฏตัวมีนามว่า Akasha ซึ่งมาพร้อมกับความเจ็บปวดอันน่าหลงใหล สังฆราชถึงกับยกตำแหน่งราชินีให้อย่างลับๆ ราชาไปหาเธอทุกครั้งที่มีเวลาเพื่อรับการทรมานจากปีศาจ จนในที่สุดเขาถึงกับสละราชบัลลังก์เพื่อเสพความเจ็บปวดสุดหฤหรรษ์ที่มีเพียงเธอเท่านั้นที่สามารถให้ได้ Queen of Pain สามารถพาเขาไปสู่ห้วงแห่งความตายได้เพียงแต่เนื่องด้วยพันธสัญญาที่ว่าเธอต้องรักษาชีวิตทำให้ไม่สามารถทำได้ จนในที่สุดความไม่ใส่ใจของกษัตริย์ทำให้เกิดกบฏขึ้น ราชาถูกพาตัวออกจากวังและโยนลงมาจากหอคอยแห่งการภาวนา และในห้วงความตายนั้นเอง Queen of Pain ก็ได้เป็นอิสระจากการตกเป็นทาสรับใช้ อิสระที่จะทรมานทุกคนที่เธอได้พานพบเจอ"
"[english]npc_dota_hero_queenofpain_bio"	"The Ecclesiast-King of Elze nursed a desire for pain--forbidden pain. In a less prominent political figure, such desires might be considered unwise, but in a monarch of his stature, to satisfy such thirsts would have threatened the virtue of the Divine Throne itself. Therefore he turned to his dungeon full of demonologists, promising freedom to whoever could summon a personal succubus of torment and bind it entirely to his service. The creature who arrived, Akasha by name, visited upon him such exquisite torments that he named her his Secret Queen, and he began to spend all his spare moments submitting to her clever torments--eventually abdicating all his responsibilities in his pursuit of the painful pleasures that only she could bring. Queen of Pain could bring him to the brink of death, but she was rune-bound to keep him alive. At last the King's neglect of state brought on an uprising. He was dragged from his chamber and hurled from the Tower of Invocations, and at the moment of death, Queen of Pain was let loose into the world, freed from servitude--freed to visit her sufferings on anyone she deigned to notice."
"npc_dota_hero_lina_bio"	"การแข่งขันระหว่างพี่น้องของ Lina the Slayer กับน้องสาวของเธอ Rylai the Crystal Maiden เคยเป็นตำนานในดินแดนอันอบอุ่นที่ซึ่งพวกเธอใช้เวลาในวัยเด็กโต้เถียงกัน Lina มักจะได้เปรียบเสมอสำหรับ Crystal ที่ใสซื่อและบริสุทธิ์ นิสัยใจร้อนของ Lina ยิ่งรุนแรงมากขึ้นพร้อมกับความฉลาดแกมโกงของเธอ พ่อแม่ผู้เกรี้ยวกราดของคู่อริน้อยนี้ต้องสร้างบ้านใหม่มากกว่าครึ่งโหลแล้ว หลังจากถูกไฟไหม้ แล้วก็ถูกแช่แข็ง สลับกันไป จนพวกเขารู้ว่ามันจะเป็นการดีหากแยกเด็กทั้งสองออกจากกัน ในฐานะพี่คนโต Lina ถูกส่งไปอยู่ทางใต้กับป้าผู้อดทนในทะเลทรายอันร้อนระอุแห่ง Misrule ซึ่งแน่นอนว่าสะดวกสบายสำหรับ Slayer ผู้ร้อนแรง การมาถึงของเธอดึงดูดชนพื้นเมืองผู้หงอยเหงาเป็นอย่างมาก หลายคนที่อยากจะเป็นคู่ของเธอถูกไฟลวกนิ้ว หรือไม่ก็เผ่นหนีไปพร้อมกับคิ้วที่ไหม้เกรียม ไม่มีชายใดคู่ควรกับเธอ Lina มั่นใจและภูมิใจในตัวเองว่าไม่มีสิ่งใดมาดับไฟของเธอได้"
"[english]npc_dota_hero_lina_bio"	"The sibling rivalries between Lina the Slayer, and her younger sister Rylai, the Crystal Maiden, were the stuff of legend in the temperate region where they spent their quarrelsome childhoods together. Lina always had the advantage, however, for while Crystal was guileless and naive, Lina's fiery ardor was tempered by cleverness and conniving. The exasperated parents of these incompatible offspring went through half a dozen homesteads, losing one to fire, the next to ice, before they realized life would be simpler if the children were separated. As the oldest, Lina was sent far south to live with a patient aunt in the blazing Desert of Misrule, a climate that proved more than comfortable for the fiery Slayer. Her arrival made quite an impression on the somnolent locals, and more than one would-be suitor scorched his fingers or went away with singed eyebrows, his advances spurned. Lina is proud and confident, and nothing can dampen her flame."
"npc_dota_hero_mirana_bio"	"Mirana เป็นองค์หญิงรัชทายาทแห่งราชวงศ์ Solar แต่ตัวเธอเองกลับสละชื่อเสียง และปฏิเสธการสืบทอดบัลลังค์ เพื่ออุทิศตนรับใช้ Salamene เทพธิดาแห่งดวงจันทร์ เธอจึงได้รับการขนานนามว่าเป็นเจ้าหญิงแห่งดวงจันทร์นับตั้งแต่นั้นมา
Mirana ได้รับหน้าที่เป็นผู้พิทักษ์ป่า Nightsilver คอยค้นหาผู้ที่กล้าเข้ามารุกล้ำและขโมยดอกบัวศักดิ์สิทธิ์จากบ่อน้ำสีเงินของเทพธิดา เธอขี่อยู่บนแมวยักษ์ที่เป็นผู้รับใช้ของเธอ มันทั้งเย่อหยิ่ง ภาคภูมิ และไร้ซึ่งความหวาดกลัว มันสามารถพาเธอไปยังอีกฟากหนึ่งของดวงจันทร์ ท่ามกลางวงโคจรแห่งหมู่ดาว หัวลูกศรคมกริบที่หลอมจากแร่จันทรานั้นอาศัยพลังแห่งดวงจันทร์เพื่อแผลงศรแห่งแสงนั้นออกไป "
"[english]npc_dota_hero_mirana_bio"	"Born to a royal family, a blood princess next in line for the Solar Throne, Mirana willingly surrendered any claim to mundane land or titles when she dedicated herself completely to the service of Selemene, Goddess of the Moon. Known ever since as Princess of the Moon, Mirana prowls the sacred Nightsilver Woods searching for any who would dare poach the sacred luminous lotus from the silvery pools of the Goddess's preserve. Riding on her enormous feline familiar, she is poised, proud and fearless, attuned to the phases of the moon and the wheeling of the greater constellations. Her bow, tipped with sharp shards of lunar ore, draws on the moon's power to charge its arrows of light."
