"lang"
{
"Language"	"tchinese"
"Tokens"
{
"DOTA_BroadcasterToasts_HeroAbilityMovie_Title"	"<hc>{s:hero_name}：</hc><ac>{s:ability_name}</ac>"
"[english]DOTA_BroadcasterToasts_HeroAbilityMovie_Title"	"<hc>{s:hero_name}:</hc> <ac>{s:ability_name}</ac>"
"DOTA_BroadcasterToasts_ItemMovie_Title"	"<ic>{s:item_name}</ic>"
"[english]DOTA_BroadcasterToasts_ItemMovie_Title"	"<ic>{s:item_name}</ic>"
"DOTA_BroadcastFact_Stat_item_hero_win_percent"	"<hc>{s:hero_name}</hc>購買<ic>{s:item_name}</ic>後的勝率為 <nc>{s:percent}%</nc>。"
"[english]DOTA_BroadcastFact_Stat_item_hero_win_percent"	"<hc>{s:hero_name}</hc> players have won <nc>{s:percent}%</nc> of their games when purchasing <ic>{s:item_name}</ic>."
"DOTA_BroadcastFact_Stat_item_hero_pick_percent"	"選擇<hc>{s:hero_name}</hc>並購買<ic>{s:item_name}</ic>的百分比為 <nc>{s:percent}%</nc>。"
"[english]DOTA_BroadcastFact_Stat_item_hero_pick_percent"	"<hc>{s:hero_name}</hc> players have purchased <ic>{s:item_name}</ic> in <nc>{s:percent}%</nc> of their games."
"DOTA_BroadcastFact_Stat_item_player_win_percent"	"<pc>{s:player_name}</pc> 購買<ic>{s:item_name}</ic>後的勝率為 <nc>{s:percent}%</nc>。"
"[english]DOTA_BroadcastFact_Stat_item_player_win_percent"	"<pc>{s:player_name}</pc> has a <nc>{s:percent}%</nc> win rate with <ic>{s:item_name}</ic>."
"DOTA_BroadcastFact_Stat_item_player_pick_percent"	"<pc>{s:player_name}</pc> 曾在過去 <nc>{s:percent}%</nc> 的比賽中購買<ic>{s:item_name}</ic>。"
"[english]DOTA_BroadcastFact_Stat_item_player_pick_percent"	"<pc>{s:player_name}</pc> has purchased <ic>{s:item_name}</ic> in <nc>{s:percent}%</nc> of his games."
"DOTA_BroadcastFact_Stat_hero_player_win_rate"	"<pc>{s:player_name}</pc> 過去選擇<hc>{s:hero_name}</hc>上場並贏得比賽的百分比為 <nc>{s:percent}%</nc>。"
"[english]DOTA_BroadcastFact_Stat_hero_player_win_rate"	"<pc>{s:player_name}</pc> has won <nc>{s:percent}%</nc> of his games when picking <hc>{s:hero_name}</hc>."
"DOTA_BroadcastFact_Stat_hero_player_pick_rate"	"<pc>{s:player_name}</pc> 曾在 <nc>{s:percent}%</nc> 的比賽中選擇<hc>{s:hero_name}</hc>上場。"
"[english]DOTA_BroadcastFact_Stat_hero_player_pick_rate"	"<pc>{s:player_name}</pc> has picked <hc>{s:hero_name}</hc> in <nc>{s:percent}%</nc> of his games."
"DOTA_BroadcastFact_Stat_item_pick_rate"	"<ic>{s:item_name}</ic>曾在過去 <nc>{s:percent}%</nc> 的比賽中為選手購買。"
"[english]DOTA_BroadcastFact_Stat_item_pick_rate"	"<ic>{s:item_name}</ic> has been purchased in <nc>{s:percent}%</nc> of all games."
"DOTA_BroadcastFact_Stat_item_win_rate"	"選手在購買<ic>{s:item_name}</ic>後的勝率為 <nc>{s:percent}%</nc>。"
"[english]DOTA_BroadcastFact_Stat_item_win_rate"	"Players have won <nc>{s:percent}%</nc> of their games in which they purchased <ic>{s:item_name}</ic>."
"DOTA_BroadcastFact_Stat_hero_pick_rate"	"<hc>{s:hero_name}</hc>的購買率為 <nc>{s:percent}%</nc>。"
"[english]DOTA_BroadcastFact_Stat_hero_pick_rate"	"<hc>{s:hero_name}</hc> has been picked in <nc>{s:percent}%</nc> of all games."
"DOTA_BroadcastFact_Stat_hero_win_rate"	"<hc>{s:hero_name}</hc>的歷史勝率為 <nc>{s:percent}%</nc>。"
"[english]DOTA_BroadcastFact_Stat_hero_win_rate"	"<hc>{s:hero_name}</hc> has a <nc>{s:percent}%</nc> win rate across all games."
"DOTA_BroadcastFact_Stat_league_item_hero_win_percent"	"在<ec>{s:event_name}</ec>中，選擇<hc>{s:hero_name}</hc>上場並購買<ic>{s:item_name}</ic>的勝率為 <nc>{s:percent}%</nc>。"
"[english]DOTA_BroadcastFact_Stat_league_item_hero_win_percent"	"<hc>{s:hero_name}</hc> players have won <nc>{s:percent}%</nc> of their games at <ec>{s:event_name}</ec> when purchasing <ic>{s:item_name}</ic>."
"DOTA_BroadcastFact_Stat_league_item_hero_pick_percent"	"在<ec>{s:event_name}</ec>中，選擇<hc>{s:hero_name}</hc>上場的選手曾在 <nc>{s:percent}%</nc> 的比賽中購買<ic>{s:item_name}</ic>。"
"[english]DOTA_BroadcastFact_Stat_league_item_hero_pick_percent"	"<hc>{s:hero_name}</hc> players have purchased <ic>{s:item_name}</ic> in <nc>{s:percent}%</nc> of their games at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_item_player_win_percent"	"在<ec>{s:event_name}</ec>中，<pc>{s:player_name}</pc> 購買<ic>{s:item_name}</ic>後的勝率為 <nc>{s:percent}%</nc>。"
"[english]DOTA_BroadcastFact_Stat_league_item_player_win_percent"	"<pc>{s:player_name}</pc> has a <nc>{s:percent}%</nc> win rate with  <ic>{s:item_name}</ic> at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_item_player_pick_percent"	"在<ec>{s:event_name}</ec>中，<nc>{s:percent}%</nc> 的比賽中有選手購買<ic>{s:item_name}</ic>。"
"[english]DOTA_BroadcastFact_Stat_league_item_player_pick_percent"	"<pc>{s:player_name}</pc> has purchased <ic>{s:item_name}</ic> in <nc>{s:percent}%</nc> of his games at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_hero_player_win_rate"	"在<ec>{s:event_name}</ec>中，<pc>{s:player_name}</pc> 選擇<hc>{s:hero_name}</hc>上場的勝率為 <nc>{s:percent}%</nc>。"
"[english]DOTA_BroadcastFact_Stat_league_hero_player_win_rate"	"<pc>{s:player_name}</pc> has picked <hc>{s:hero_name}</hc> with a <nc>{s:percent}%</nc> win rate at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_hero_player_pick_rate"	"<ec>{s:event_name}</ec>期間內，<pc>{s:player_name}</pc> 曾在 <nc>{s:percent}%</nc> 的比賽中選擇<hc>{s:hero_name}</hc>上場。"
"[english]DOTA_BroadcastFact_Stat_league_hero_player_pick_rate"	"<pc>{s:player_name}</pc> has picked <hc>{s:hero_name}</hc> in <nc>{s:percent}%</nc> of his games at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_item_pick_rate"	"在<ec>{s:event_name}</ec>中，<ic>{s:item_name}</ic>曾在過去 <nc>{s:percent}%</nc> 的比賽中為選手購買。"
"[english]DOTA_BroadcastFact_Stat_league_item_pick_rate"	"<ic>{s:item_name}</ic> has been purchased in <nc>{s:percent}%</nc> of all games at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_item_win_rate"	"在<ec>{s:event_name}</ec>中，<ic>{s:item_name}</ic>的購買者的勝率為 <nc>{s:percent}%</nc>。"
"[english]DOTA_BroadcastFact_Stat_league_item_win_rate"	"<ic>{s:item_name}</ic> has a <nc>{s:percent}%</nc> win rate at {s:event_name}."
"DOTA_BroadcastFact_Stat_league_hero_pick_rate"	"在<ec>{s:event_name}</ec>中，<hc>{s:hero_name}</hc>的出場率為 <nc>{s:percent}%</nc>。"
"[english]DOTA_BroadcastFact_Stat_league_hero_pick_rate"	"<hc>{s:hero_name}</hc> has been picked in <nc>{s:percent}%</nc> of games at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_hero_win_rate"	"在<ec>{s:event_name}</ec>中，<hc>{s:hero_name}</hc>的勝率為 <nc>{s:percent}%</nc>。"
"[english]DOTA_BroadcastFact_Stat_league_hero_win_rate"	"<hc>{s:hero_name}</hc> has a <nc>{s:percent}%</nc> win rate at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_full_set_win_rate"	"在<ec>{s:event_name}</ec>中，<pc>{s:player_name}</pc> 選擇<hc>{s:hero_name}</hc>並購買<ic>{s:item_name}</ic>的勝率為 <nc>{s:percent}%</nc>。"
"[english]DOTA_BroadcastFact_Stat_league_full_set_win_rate"	"<pc>{s:player_name}</pc> has won <nc>{s:percent}%</nc> of his games at <ec>{s:event_name}</ec> when purchasing <ic>{s:item_name}</ic> on <hc>{s:hero_name}</hc>."
"DOTA_BroadcastFact_Stat_league_full_set_pick_rate"	"<ec>{s:event_name}</ec>期間內，<pc>{s:player_name}</pc> 選擇<hc>{s:hero_name}</hc>並購買<ic>{s:item_name}</ic>的勝率為 <nc>{s:percent}%</nc>。"
