"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"ฮ้า ฮ่า ฮาฮ่าฮ่าฮาฮะฮะฮ่ะฮ่ะฮ่ะฮ่ะ!"
"[english]dota_chatwheel_message_antimage_laugh"	"Ha ha ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_antimage_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_antimage_laugh"	"Laugh"
"dota_chatwheel_message_antimage_thank"	"ข้าจะซัดพวกมัน ให้ไม่มีวันลืม!"
"[english]dota_chatwheel_message_antimage_thank"	"I'll give them a drubbing they'll not soon forget!"
"dota_chatwheel_label_antimage_thank"	"ข้าจะซัดพวกมัน..."
"[english]dota_chatwheel_label_antimage_thank"	"I'll give them a drubbing..."
"dota_chatwheel_message_antimage_deny"	"นี่เจ้าพยายามแล้วรึ?"
"[english]dota_chatwheel_message_antimage_deny"	"Are you even trying?"
"dota_chatwheel_label_antimage_deny"	"นี่เจ้าพยายามแล้วรึ?"
"[english]dota_chatwheel_label_antimage_deny"	"Are you even trying?"
"dota_chatwheel_message_antimage_1"	"เวทมนตร์ช่างน่ารังเกียจเสียยิ่งนัก"
"[english]dota_chatwheel_message_antimage_1"	"Magic is an abomination."
"dota_chatwheel_label_antimage_1"	"เวทมนตร์ช่างน่ารังเกียจเสียยิ่งนัก"
"[english]dota_chatwheel_label_antimage_1"	"Magic is an abomination."
"dota_chatwheel_message_antimage_2"	"น่าผิดหวังเสียจริง"
"[english]dota_chatwheel_message_antimage_2"	"A disappointment."
"dota_chatwheel_label_antimage_2"	"น่าผิดหวังเสียจริง"
"[english]dota_chatwheel_label_antimage_2"	"A disappointment."
"dota_chatwheel_message_antimage_3"	"ไม่ใช้เวทมนตร์ช่วยตัวเจ้าล่ะ"
"[english]dota_chatwheel_message_antimage_3"	"Magic thyself out of that."
"dota_chatwheel_label_antimage_3"	"ไม่ใช้เวทมนตร์ช่วยตัวเจ้าล่ะ"
"[english]dota_chatwheel_label_antimage_3"	"Magic thyself out of that."
"dota_chatwheel_message_antimage_4"	"เจ้ามันถูกสาป!"
"[english]dota_chatwheel_message_antimage_4"	"Thou art damned!"
"dota_chatwheel_label_antimage_4"	"เจ้ามันถูกสาป"
"[english]dota_chatwheel_label_antimage_4"	"Thou art damned."
"dota_chatwheel_message_antimage_5"	"ส่งเหล่าทหารเทพแห่งความตายของพวกเจ้ามาสิ ข้าจะส่งไปลงนรกให้หมด"
"[english]dota_chatwheel_message_antimage_5"	"Send thy Dead God's legions, I will put them all to death."
"dota_chatwheel_label_antimage_5"	"ส่งเหล่าทหารเทพแห่งความตายมา..."
"[english]dota_chatwheel_label_antimage_5"	"Send thy Dead God's legions..."
"dota_chatwheel_message_axe_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_axe_laugh"	"Ha ha ha ha ha ha!"
"dota_chatwheel_label_axe_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_axe_laugh"	"Laugh"
"dota_chatwheel_message_axe_thank"	"Axe ชอบอันนี้มาก ๆ"
"[english]dota_chatwheel_message_axe_thank"	"Axe likes this very much."
"dota_chatwheel_label_axe_thank"	"Axe ชอบอันนี้มาก ๆ"
"[english]dota_chatwheel_label_axe_thank"	"Axe likes this very much."
"dota_chatwheel_message_axe_deny"	"แกไม่สมควรได้รับอะไรทั้งนั้น!"
"[english]dota_chatwheel_message_axe_deny"	"You deserve nothing!"
"dota_chatwheel_label_axe_deny"	"แกไม่สมควรได้รับอะไรทั้งนั้น!"
"[english]dota_chatwheel_label_axe_deny"	"You deserve nothing!"
"dota_chatwheel_message_axe_1"	"แกสู้ว่าแย่แล้ว ตายแย่ยิ่งกว่า"
"[english]dota_chatwheel_message_axe_1"	"You fought badly--died worse."
"dota_chatwheel_label_axe_1"	"แกสู้ว่าแย่แล้ว"
"[english]dota_chatwheel_label_axe_1"	"You fought badly"
"dota_chatwheel_message_axe_2"	"บอกแล้วไงว่าวันนี้ดี!"
"[english]dota_chatwheel_message_axe_2"	"I said good day, sir!"
"dota_chatwheel_label_axe_2"	"บอกแล้วไงว่าวันนี้ดี!"
"[english]dota_chatwheel_label_axe_2"	"I said good day, sir!"
"dota_chatwheel_message_axe_3"	"Axe เข้าใจผิดงั้นเหรอ?"
"[english]dota_chatwheel_message_axe_3"	"Axe misjudged?"
"dota_chatwheel_label_axe_3"	"Axe เข้าใจผิดงั้นเหรอ?"
"[english]dota_chatwheel_label_axe_3"	"Axe misjudged?"
"dota_chatwheel_message_axe_4"	"Axe ไม่มีเวลามาทำไรงั้นงี้หรอกนะ"
"[english]dota_chatwheel_message_axe_4"	"Axe has no time for all this jibber-jabber."
"dota_chatwheel_label_axe_4"	"Axe ไม่มีเวลามาทำไรงั้นงี้หรอกนะ"
"[english]dota_chatwheel_label_axe_4"	"Axe has no time for all this jibber-jabber."
"dota_chatwheel_message_axe_5"	"เกิดอะไรขึ้น? เกิด Axe ขึ้นไง!"
"[english]dota_chatwheel_message_axe_5"	"What happened? Axe happened!"
"dota_chatwheel_label_axe_5"	"เกิดอะไรขึ้น? เกิด Axe ขึ้นไง!"
"[english]dota_chatwheel_label_axe_5"	"What happened? Axe happened!"
"dota_chatwheel_message_bane_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_bane_laugh"	"Ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_bane_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_bane_laugh"	"Laugh"
"dota_chatwheel_message_bane_thank"	"เจ้าเป็นคนดีจัง"
"[english]dota_chatwheel_message_bane_thank"	"You're so nice."
"dota_chatwheel_label_bane_thank"	"เจ้าเป็นคนดีจัง"
"[english]dota_chatwheel_label_bane_thank"	"You're so nice."
"dota_chatwheel_message_bane_deny"	"คราวหน้าคงโชคดี"
"[english]dota_chatwheel_message_bane_deny"	"Better luck next time."
"dota_chatwheel_label_bane_deny"	"คราวหน้าคงโชคดี"
"[english]dota_chatwheel_label_bane_deny"	"Better luck next time."
"dota_chatwheel_message_bane_1"	"หายนะในชีวิตเจ้า"
"[english]dota_chatwheel_message_bane_1"	"Bane of your existence."
"dota_chatwheel_label_bane_1"	"หายนะในชีวิตเจ้า"
"[english]dota_chatwheel_label_bane_1"	"Bane of your existence."
"dota_chatwheel_message_bane_2"	"ข้าฝันถึงเหตุการณ์นี้มาตลอด"
"[english]dota_chatwheel_message_bane_2"	"I've been dreaming of this moment."
"dota_chatwheel_label_bane_2"	"ข้าฝันถึงเหตุการณ์นี้มาตลอด"
"[english]dota_chatwheel_label_bane_2"	"I've been dreaming of this moment."
"dota_chatwheel_message_bane_3"	"ก็แลกกันเป็นธรรม"
"[english]dota_chatwheel_message_bane_3"	"Fair exchange."
"dota_chatwheel_label_bane_3"	"ก็แลกกันเป็นธรรม"
"[english]dota_chatwheel_label_bane_3"	"Fair exchange."
"dota_chatwheel_message_bane_4"	"ตอนนี้เจ้าก็ฝันร้ายไปตลอดชีวิต"
"[english]dota_chatwheel_message_bane_4"	"Now your nightmare lasts forever."
"dota_chatwheel_label_bane_4"	"ตอนนี้เจ้าก็ฝันร้ายไปตลอดชีวิต"
"[english]dota_chatwheel_label_bane_4"	"Now your nightmare lasts forever."
"dota_chatwheel_message_bane_5"	"อ้า ย๊า ยา ยา ย่า อ้า อ่าอ๊าอ้า!"
"[english]dota_chatwheel_message_bane_5"	"Ah ya ya ya ya ya yai eeyas!"
"dota_chatwheel_label_bane_5"	"อ้า ย๊า ยา ยา ย่า อ้า อ่าอ๊าอ้า!"
"[english]dota_chatwheel_label_bane_5"	"Ah ya ya ya ya ya yai eeyas!"
"dota_chatwheel_message_bloodseeker_laugh"	"ฮื้มม-ฮื่อ-ฮื่อ-ฮื่อ-ฮื่อ-ฮ่า!"
"[english]dota_chatwheel_message_bloodseeker_laugh"	"Hmm-heh-heh-heh-heh-ha!"
"dota_chatwheel_label_bloodseeker_laugh"	"หัวเราะ"
