"lang"
{
"Language"	"spanish"
"Tokens"
{
"DOTA_Tooltip_ability_attribute_bonus"	"Bonificación de Atributos"
"[english]DOTA_Tooltip_ability_attribute_bonus"	"Attribute Bonus"
"DOTA_Tooltip_ability_attribute_bonus_Description"	"Mejora todos los atributos por cada punto invertido."
"[english]DOTA_Tooltip_ability_attribute_bonus_Description"	"Improves all attributes per point spent"
"DOTA_Tooltip_ability_attribute_bonus_attribute_bonus_per_level"	"BONIFICACIÓN:"
"[english]DOTA_Tooltip_ability_attribute_bonus_attribute_bonus_per_level"	"BONUS:"
"DOTA_Tooltip_ability_default_attack"	"Ataques"
"[english]DOTA_Tooltip_ability_default_attack"	"Attacks"
"DOTA_Tooltip_ability_default_attack_Description"	"Daño causado por ataques directos."
"[english]DOTA_Tooltip_ability_default_attack_Description"	"Damage done by direct attacks."
"DOTA_Tooltip_ability_fountain_glyph"	"Glifo de Fortificación {s:glyph_hotkey}"
"[english]DOTA_Tooltip_ability_fountain_glyph"	"Glyph of Fortification {s:glyph_hotkey}"
"DOTA_Tooltip_ability_fountain_glyph_Description"	"Otorga invencibilidad a tus estructuras y a los creeps de la senda durante 6 segundos. Se actualiza si cae una torre de primer nivel."
"[english]DOTA_Tooltip_ability_fountain_glyph_Description"	"Grant your structures and lane creeps invincibility for 6 seconds. Refreshed if a first-tier tower falls."
"DOTA_Tooltip_ability_fountain_glyph_duration"	"DURACIÓN:"
"[english]DOTA_Tooltip_ability_fountain_glyph_duration"	"DURATION:"
"DOTA_Tooltip_glyph_cooldown_ready"	"Listo"
"[english]DOTA_Tooltip_glyph_cooldown_ready"	"Ready"
"DOTA_Tooltip_glyph_cooldown"	"Recarga en %s1"
"[english]DOTA_Tooltip_glyph_cooldown"	"Cooldown: %s1"
"DOTA_Tooltip_ability_fountain_buyback"	"Resurrección"
"[english]DOTA_Tooltip_ability_fountain_buyback"	"Buyback"
"DOTA_Tooltip_ability_fountain_buyback_Description"	"Resucita inmediatamente a tu héroe por un precio."
"[english]DOTA_Tooltip_ability_fountain_buyback_Description"	"Respawns your hero immediately, for a price."
"DOTA_Tooltip_ability_fountain_buyback_cost"	"COSTE:"
"[english]DOTA_Tooltip_ability_fountain_buyback_cost"	"COST:"
"DOTA_Tooltip_ability_backdoor_protection"	"Protección de Retaguardia"
"[english]DOTA_Tooltip_ability_backdoor_protection"	"Backdoor Protection"
"DOTA_Tooltip_ability_backdoor_protection_in_base"	"Protección de Retaguardia"
"[english]DOTA_Tooltip_ability_backdoor_protection_in_base"	"Backdoor Protection"
"DOTA_Tooltip_ability_courier_return_to_base"	"Regresar a la base"
"[english]DOTA_Tooltip_ability_courier_return_to_base"	"Return to Base"
"DOTA_Tooltip_ability_courier_return_to_base_Description"	"Devuelve al mensajero a la base"
"[english]DOTA_Tooltip_ability_courier_return_to_base_Description"	"Returns the courier to base"
"DOTA_Tooltip_ability_courier_transfer_items"	"Transferir Objetos"
"[english]DOTA_Tooltip_ability_courier_transfer_items"	"Transfer Items"
"DOTA_Tooltip_ability_courier_transfer_items_Description"	"Transfiere los objetos al héroe"
"[english]DOTA_Tooltip_ability_courier_transfer_items_Description"	"Transfer items to hero"
"DOTA_Tooltip_ability_courier_return_stash_items"	"Devolver Objetos"
"[english]DOTA_Tooltip_ability_courier_return_stash_items"	"Return Items"
"DOTA_Tooltip_ability_courier_return_stash_items_Description"	"Devuelve los objetos a la reserva"
"[english]DOTA_Tooltip_ability_courier_return_stash_items_Description"	"Return items to stash"
"DOTA_Tooltip_ability_courier_shield"	"Escudo"
"[english]DOTA_Tooltip_ability_courier_shield"	"Shield"
"DOTA_Tooltip_ability_courier_shield_Description"	"Invoca un escudo protector alrededor del mensajero"
"[english]DOTA_Tooltip_ability_courier_shield_Description"	"Summons a protective shield around the courier"
"DOTA_Tooltip_ability_courier_burst"	"Subidón de Velocidad"
"[english]DOTA_Tooltip_ability_courier_burst"	"Speed Burst"
"DOTA_Tooltip_ability_courier_burst_Description"	"El mensajero recibe un aumento de velocidad durante %duration% segundos."
"[english]DOTA_Tooltip_ability_courier_burst_Description"	"The courier gains a burst of speed for %duration% seconds"
"DOTA_Tooltip_ability_courier_take_stash_items"	"Recuperar objetos"
"[english]DOTA_Tooltip_ability_courier_take_stash_items"	"Retrieve Items"
"DOTA_Tooltip_ability_courier_take_stash_items_Description"	"Recupera objetos de la reserva"
"[english]DOTA_Tooltip_ability_courier_take_stash_items_Description"	"Retrieve items from stash"
"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn"	"Ruptura de Maná"
"[english]DOTA_Tooltip_ability_necronomicon_warrior_mana_burn"	"Mana Break"
"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_Description"	"Cada impacto quema maná, parte del cual se inflige como daño."
"[english]DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_Description"	"Mana burned per hit, a portion of which is dealt as damage."
"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_amount"	"QUEMADURA DE MANÁ POR IMPACTO:"
"[english]DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_amount"	"MANA BURN PER HIT:"
"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_damage_conversion"	"%CONVERSIÓN A DAÑO:"
"[english]DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_damage_conversion"	"%CONVERTED TO DAMAGE:"
"DOTA_Tooltip_ability_necronomicon_warrior_last_will"	"Última Voluntad"
"[english]DOTA_Tooltip_ability_necronomicon_warrior_last_will"	"Last Will"
"DOTA_Tooltip_ability_necronomicon_warrior_last_will_Description"	"Inflige daño a la unidad que mata al Guerrero Necronomicón."
"[english]DOTA_Tooltip_ability_necronomicon_warrior_last_will_Description"	"Deals damage to the unit that kills the Necronomicon Warrior."
"DOTA_Tooltip_ability_necronomicon_warrior_last_will_explosion"	"DAÑO:"
"[english]DOTA_Tooltip_ability_necronomicon_warrior_last_will_explosion"	"DAMAGE:"
"DOTA_Tooltip_ability_necronomicon_warrior_sight"	"Visión Verdadera"
"[english]DOTA_Tooltip_ability_necronomicon_warrior_sight"	"True Sight"
"DOTA_Tooltip_ability_necronomicon_warrior_sight_Description"	"Revela las unidades invisibles."
"[english]DOTA_Tooltip_ability_necronomicon_warrior_sight_Description"	"Reveals invisible units."
"DOTA_Tooltip_ability_necronomicon_warrior_sight_radius"	"RADIO:"
"[english]DOTA_Tooltip_ability_necronomicon_warrior_sight_radius"	"RADIUS:"
"DOTA_Tooltip_ability_necronomicon_archer_mana_burn"	"Quemadura de Maná"
"[english]DOTA_Tooltip_ability_necronomicon_archer_mana_burn"	"Mana Burn"
"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_Description"	"Lanza una flecha que quema el maná de la unidad objetivo, infligiendo un daño igual a la cantidad de maná quemada."
"[english]DOTA_Tooltip_ability_necronomicon_archer_mana_burn_Description"	"Launches an arrow that burns away the targeted unit's mana, dealing damage equal to the amount of mana burned."
"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_amount"	"QUEMADURA DE MANÁ POR IMPACTO:"
"[english]DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_amount"	"MANA BURN PER HIT:"
"DOTA_Tooltip_ability_necronomicon_archer_aoe"	"Aura del Arquero"
"[english]DOTA_Tooltip_ability_necronomicon_archer_aoe"	"Archer Aura"
"DOTA_Tooltip_ability_necronomicon_archer_aoe_Description"	"Aumenta la velocidad de movimiento de las unidades cercanas."
"[english]DOTA_Tooltip_ability_necronomicon_archer_aoe_Description"	"Increases movement of nearby units."
"DOTA_Tooltip_ability_necronomicon_archer_aoe_radius"	"RADIO:"
"[english]DOTA_Tooltip_ability_necronomicon_archer_aoe_radius"	"RADIUS:"
"DOTA_Tooltip_ability_antimage_mana_break"	"Ruptura de Maná"
"[english]DOTA_Tooltip_ability_antimage_mana_break"	"Mana Break"
"DOTA_Tooltip_ability_antimage_mana_break_Description"	"En inglés: <b><font color='#F2A93E'>Mana Break</font></b>.\n \nQuema el maná de un oponente con cada ataque. Ruptura de Maná inflige un %percent_damage_per_burn% %% del maná quemado como daño al objetivo. Ruptura de Maná quema un %illusion_percentage% %% si el efecto lo causa una ilusión."
"[english]DOTA_Tooltip_ability_antimage_mana_break_Description"	"Burns an opponent's mana on each attack.  Mana Break deals %percent_damage_per_burn%%% of the mana burned as damage to the target. Mana Break has %illusion_percentage%%% effect if caused by illusions."
"DOTA_Tooltip_ability_antimage_mana_break_Lore"	"Una técnica modificada de las artes pacíficas de los monjes Turstarkuri es volver las energías mágicas contra su propietario."
"[english]DOTA_Tooltip_ability_antimage_mana_break_Lore"	"A modified technique of the Turstarkuri monks' peaceful ways is to turn magical energies on their owner."
