"lang"
{
"Language"	"norwegian"
"Tokens"
{
"DOTA_AttackMove"	"Angrepsbevegelse / Tving angrep"
"DOTA_Move"	"Flytt"
"DOTA_UnitQuery"	"Forespør et objekt/en enhet"
"DOTA_ExecuteAbility0"	"Evne 1"
"DOTA_ExecuteAbility1"	"Evne 2"
"DOTA_ExecuteAbility2"	"Evne 3"
"DOTA_ExecuteAbility3"	"Evne 4"
"DOTA_ExecuteAbility4"	"Evne 5"
"DOTA_ExecuteAbility5"	"Ultimate-evne"
"DOTA_RespawnTime"	"Gjenopplives om %s1 sekunder"
"DOTA_RespawnTimeShort"	"Gjenopplives om %s1 sek"
"DOTA_UnitLevel"	"Nivå %s1"
"DOTA_StrengthStatus"	"%s1 STR"
"DOTA_STR"	"STR"
"DOTA_AgilityStatus"	"%s1 AGI"
"DOTA_AGI"	"AGI"
"DOTA_IntellectStatus"	"%s1 INT"
"DOTA_INT"	"INT"
"DOTA_DamageStatus"	"%s1 skade"
"DOTA_ArmorStatus"	"%s1 rustning"
"DOTA_ARMOR"	"RUSTNING"
"DOTA_UnitHold"	"Hold posisjon"
"DOTA_UnitStop"	"Stopp"
"DOTA_LevelUp"	"NYTT NIVÅ"
"DOTA_LevelUp_Req"	"Krever heltenivå %s1"
"DOTA_AttributesUp"	"NIVÅ %s1"
"DOTA_Abilities"	"EVNER"
"DOTA_Items"	"UTSTYRTE GJENSTANDER"
"DOTA_HUDShop"	"BUTIKK"
"DOTA_AttribArmor"	"Rustning"
"DOTA_AttribDamage"	"Skade"
"DOTA_More"	"MER"
"DOTA_Developer"	"Utvikler"
"DOTA_NeedMana"	"%s1 sek"
"DOTA_ManaCost"	"MANAKOSTNAD %s1"
"DOTA_Basics"	"GRUNNLEGGENDE"
"DOTA_Upgrades"	"OPPGRADERINGER"
"DOTA_Attributes"	"ATTRIBUTTER"
"DOTA_LevelLabel"	"Nivå: %s1"
"DOTA_StackCount"	"Antall i stabel: %s1"
"DOTA_Charges"	"Ladninger: %s1"
"DOTA_Health"	"HELSE"
"DOTA_Mana"	"MANA"
"DOTA_Skills"	"FERDIGHETER"
"DOTA_AttributeFooter"	"SKADE: %s1 RUSTNING: %s2"
"DOTA_UnitSelection_Title"	"VELG ENHET"
"DOTA_SelectHeroAndCenter"	"Velg helt og sentrer kamera"
"DOTA_TabUnit"	"Veksle mellom valgte enheter"
"DOTA_ControlGroup1"	"Gruppe 1"
"DOTA_ControlGroup2"	"Gruppe 2"
"DOTA_ControlGroup3"	"Gruppe 3"
"DOTA_ControlGroup4"	"Gruppe 4"
"DOTA_ControlGroup5"	"Gruppe 5"
"DOTA_StatTooltip_Header"	"Helteattributter:\n\n"
"DOTA_StatTooltip_Strength"	"Styrke: "
"DOTA_StatTooltip_Agility"	"Smidighet: "
"DOTA_StatTooltip_Intelligence"	"Intelligens: "
"DOTA_StatTooltip_PrimaryAttrib"	"Primært attributt\n"
"DOTA_StatTooltip_StrengthBonus"	"– Hvert poeng øker helsepoengene med 20\n– Hvert poeng øker helseregenerasjon med 0,03\n"
"DOTA_StatTooltip_AgilityBonus"	"– Hvert 7. poeng øker rustning med 1\n– Hvert poeng øker angrepshastighet med 1\n"
"DOTA_StatTooltip_IntelligenceBonus"	"– Hvert poeng øker mana med 12\n– Hvert poeng øker manaregenerasjon med 0,04\n– Hvert 16. poeng øker formelskade med 1 %\n"
"DOTA_StatTooltip_PrimaryBonus"	"– Hvert poeng øker skade med 1\n"
"DOTA_StatTooltip_Buyback"	"Gjeldende tilbakekjøpskostnad: %s1\n"
"DOTA_GoodGuys"	"Radiant"
"DOTA_BadGuys"	"Dire"
"DOTA_Towers"	"Gjenstående tårn: %s1"
"DOTA_Barracks"	"Brakker: %s1"
"DOTA_NotAvailable"	"Ikke tilgjengelig"
"DOTA_MoveForward"	"Kamera framover"
"DOTA_MoveBack"	"Kamera bakover"
"DOTA_MoveLeft"	"Kamera venstre"
"DOTA_MoveRight"	"Kamera høyre"
"DOTA_CameraGrip"	"Kameragrep"
"DOTA_HeroSelect"	"Velg helt"
"DOTA_HeroCenter"	"Sentrer helt"
"DOTA_HeroMoveHome"	"Flytt helt hjem"
"DOTA_ControlGroupCycle"	"Neste enhet"
"DOTA_ControlGroup6"	"Gruppe 6"
"DOTA_Escape"	"Escape"
"DOTA_Scoreboard"	"Resultattavle"
"DOTA_Screenshot"	"Skjermbilde"
"DOTA_Voice"	"Stemmesamtale"
"DOTA_VoiceLane"	"Stemmesamtale (sti)"
"DOTA_ChatGlobal"	"Snakk med alle"
"DOTA_ChatTeam"	"Snakk med lag"
"DOTA_Learn_Abilities"	"Lær evne"
"DOTA_Learn_Stats"	"Oppgrader stats"
"DOTA_UseActionItem_Key"	"Handlingsgjenstand"
"DOTA_StatTooltip_TotalAttributesSkilled"	"Attributtnivå:"
"DOTA_DmgArmorTooltip_AttackSpeed"	"Angrepshastighet: "
"DOTA_DmgArmorTooltip_AttackSpeedSeconds"	"s per angrep"
"DOTA_DmgArmorTooltip_MoveSpeed"	"Bevegelseshastighet: "
"DOTA_DmgArmorTooltip_AttackDamage"	"Angrepsskade: "
"DOTA_DmgArmorTooltip_AttackRange"	"Angrepsrekkevidde: "
"DOTA_DmgArmorTooltip_Armor"	"Fysisk rustning: "
"DOTA_DmgArmorTooltip_DmgResist"	"Fysisk skaderesistens: "
"DOTA_DmgArmorTooltip_MagicArmor"	"Magisk rustning: "
"DOTA_DmgArmorTooltip_MagicDmgResist"	"Magisk skaderesistens: "
"DOTA_HeroTaunt_Key"	"Hånegjenstand"
"DOTAUI_AspectNormal"	"4:3"
"DOTAUI_AspectWide16x9"	"16:9"
"DOTAUI_AspectWide16x10"	"16:10"
"DOTAUI_Fullscreen"	"Fullskjerm"
"DOTAUI_Window"	"Vindu"
"DOTAUI_BorderlessWindow"	"Vindu uten kanter"
"DOTA_Welcome"	"Velkommen til DotA"
"DOTA_Chat_Team"	"[ALLIERTE] %s1: %s2"
"DOTA_Chat_Team_Dead"	"*DØD*[ALLIERTE] %s1: %s2"
"DOTA_Chat_Spec"	"[Tilskuer] %s1: %s2"
"DOTA_Chat_All"	"%s1: %s2"
"DOTA_Chat_PlayerKilled"	"%s1 eide nettopp %s2 for %s3 gull!"
"DOTA_Chat_PlayerDenied"	"%s1 berøvet nettopp %s2!"
"DOTA_Chat_PlayerDeniedSelf"	"%s1 begikk nettopp selvmord!"
"DOTA_Chat_PlayerKilledGood"	"%s1 ble nettopp drept av Dire! %s2 gull fordeles mellom alle Dire-heltene."
"DOTA_Chat_PlayerKilledBad"	"%s1 ble nettopp drept av Radiant! %s2 gull fordeles mellom alle Radiant-heltene."
"DOTA_Chat_PlayerKilledGeneric"	"%s1 ble nettopp drept av et nøytralt kryp!"
"DOTA_Chat_PlayerKilledAssist"	"%s1 ble nettopp drept! %s2 gull er delt mellom medhjelperne:"
"DOTA_Chat_TowerPlayerKilled"	"%s1 ødela et tårn!"
"DOTA_Chat_TowerKilledGood"	"Et tårn ble ødelagt av Dire!"
"DOTA_Chat_TowerKilledBad"	"Et tårn ble ødelagt av Radiant!"
"DOTA_Chat_BarracksKilled"	"%s1s %s2 %s3brakker er blitt ødelagt!"
"DOTA_Chat_TowerDenied"	"%s1 berøvet et tårn!"
"DOTA_Chat_FirstBlood"	"%s1 %s2 spilte det første blodet ved å drepe %s3"
"DOTA_Chat_DoubleKill"	"%s1 %s2 fikk et dobbeltdrap!"
"DOTA_Chat_TripleKill"	"%s1 %s2 har et TRIPPELDRAP!"
"DOTA_Chat_QuadKill"	"%s1 %s2 fikk et ULTRADRAP!"
"DOTA_Chat_QuintupleKill"	"%s1 %s2 HAR GÅTT BERSERK!!"
"DOTA_Chat_BuyBack"	"%s1 kjøpte seg tilbake inn i spillet!"
"DOTA_Chat_PickedUpAegis"	"%s1 plukket opp Aegis of the Immortal!"
"DOTA_Chat_KilledRoshanGood"	"Roshan har blitt drept av Radiant! %s1 gull til hver av Radiants helter!"
"DOTA_Chat_KilledRoshanBad"	"Roshan har blitt drept av Dire! %s1 gull til hver av Dires helter!"
"DOTA_Chat_SuperCreepsGood"	"Alle Dires brakker har falt. Radiant har nå megakryp!"
"DOTA_Chat_SuperCreepsBad"	"Alle Radiants brakker har falt. Dire har nå megakryp!"
"DOTA_Chat_ItemPurchase"	"%s1 kjøpte nettopp %s2!"
"DOTA_Chat_Connect"	"%s1 har koblet til spillet."
"DOTA_Chat_Disconnect"	"%s1 har koblet fra spillet."
"DOTA_Chat_DisconnectWaitForReconnect"	"%s1 har koblet fra spillet. Vent på at de skal koble seg til igjen."
