"lang"
{
"Language"	"polish"
"Tokens"
{
"npc_dota_hero_antimage_bio"	"Mnisi z Turstarkuri obserwowali surowe doliny poniżej swego klasztoru, podczas gdy kolejne fale najeźdźców przelewały się przez niższe królestwa. W swoim odległym schronieniu u szczytów gór i z dala od doczesnych trosk trwali pogrążeni w medytacji, w której nieznani byli im żadni bogowie ani magiczne elementy. Potem nadszedł Legion Martwego Boga – krzyżowcy, których złowieszczym celem było zastąpienie wszelkich lokalnych miejsc kultu zatruwającą umysły filozofią nicości swego Nieżywego Pana. Z krainy, która od tysiąca lat nie widziała niczego poza krwią i walką, wydarli niezliczone dusze i kości upadłych legionów, a następnie wysłali je do walki przeciwko Turstarkuri. Klasztor nie wytrzymał nawet dwóch tygodni natarcia, a garstka mnichów, która wybudziła się z medytacyjnego transu, uznała, że najeźdźcy byli jedynie demonicznymi wizjami zesłanymi, by odwieść ich od istotnych spraw. Umarli, nie ruszywszy się z miejsca, siedząc na jedwabnych poduszkach. Przeżył tylko jeden młodzieniec – pielgrzym, który przybył tam jako zaledwie akolita szukający mądrości i nadal nie został oficjalnie przyjęty do klasztoru. Przyglądał się ze zgrozą jak mnisi, którym niegdyś przygotowywał herbatę z pokrzywami, byli zarzynani, by chwilę później powstać jako członkowie duchowieństwa Martwego Boga. Zostawszy samemu z jedynie paroma cennymi dogmatycznymi zwojami Turstarkuri, oddalił się w kierunku względnego bezpieczeństwa innych krain, przysięgając, że wymaże ze świata nie tylko czarodziejów posłusznych Martwemu Bogu, ale wszelką możliwą magię."
"[english]npc_dota_hero_antimage_bio"	"The monks of Turstarkuri watched the rugged valleys below their mountain monastery as wave after wave of invaders swept through the lower kingdoms. Ascetic and pragmatic, in their remote monastic eyrie they remained aloof from mundane strife, wrapped in meditation that knew no gods or elements of magic. Then came the Legion of the Dead God, crusaders with a sinister mandate to replace all local worship with their Unliving Lord's poisonous nihilosophy. From a landscape that had known nothing but blood and battle for a thousand years, they tore the souls and bones of countless fallen legions and pitched them against Turstarkuri. The monastery stood scarcely a fortnight against the assault, and the few monks who bothered to surface from their meditations believed the invaders were but demonic visions sent to distract them from meditation. They died where they sat on their silken cushions. Only one youth survived--a pilgrim who had come as an acolyte, seeking wisdom, but had yet to be admitted to the monastery. He watched in horror as the monks to whom he had served tea and nettles were first slaughtered, then raised to join the ranks of the Dead God's priesthood. With nothing but a few of Turstarkuri's prized dogmatic scrolls, he crept away to the comparative safety of other lands, swearing to obliterate not only the Dead God's magic users--but to put an end to magic altogether. "
"npc_dota_hero_queenofpain_bio"	"Król-Kaznodzieja krainy Elze nosił w sobie pragnienie bólu – zakazanego bólu. Dla mniej wpływowej postaci politycznej takie pragnienie mogłoby zostać uznane za nierozsądne, ale dla monarchy o jego statusie zaspokojenie tych żądz podałoby w wątpliwość cnoty samego Boskiego Tronu. Zwrócił się zatem w kierunku swych lochów pełnych demonologów, obiecując wolność temu, który przyzwałby dla niego sukkubusa cierpienia i przypisał w całości jego służbie. Stwór, który się pojawił, miał na imię Akasha i obdarzał króla tak wyśmienitym cierpieniem, że ten nadał jej tytuł swojej Sekretnej Królowej i zaczął poświęcać wszystkie swoje wolne chwile na oddawanie się jej wymyślnym torturom, aż w końcu zrezygnował ze wszystkich obowiązków w pogoni za bolesnymi przyjemnościami, których mógł doznać tylko u niej. Królowa znana dziś jako Queen of Pain mogła sprowadzić go na skraj śmierci, ale runiczne wiązania zmuszały ją do utrzymania go przy życiu. W końcu jednak niedbalstwo króla doprowadziło do wybuchu powstania w narodzie. Został wyciągnięty ze swojej komnaty i zrzucony z Wieży Inwokacji, a w momencie jego śmierci Queen of Pain została wypuszczona na świat, uwolniona z niewoli – nic nie powstrzymywało jej już przed zsyłaniem swych cierpień na każdego, kogo raczyła zauważyć."
"[english]npc_dota_hero_queenofpain_bio"	"The Ecclesiast-King of Elze nursed a desire for pain--forbidden pain. In a less prominent political figure, such desires might be considered unwise, but in a monarch of his stature, to satisfy such thirsts would have threatened the virtue of the Divine Throne itself. Therefore he turned to his dungeon full of demonologists, promising freedom to whoever could summon a personal succubus of torment and bind it entirely to his service. The creature who arrived, Akasha by name, visited upon him such exquisite torments that he named her his Secret Queen, and he began to spend all his spare moments submitting to her clever torments--eventually abdicating all his responsibilities in his pursuit of the painful pleasures that only she could bring. Queen of Pain could bring him to the brink of death, but she was rune-bound to keep him alive. At last the King's neglect of state brought on an uprising. He was dragged from his chamber and hurled from the Tower of Invocations, and at the moment of death, Queen of Pain was let loose into the world, freed from servitude--freed to visit her sufferings on anyone she deigned to notice."
"npc_dota_hero_lina_bio"	"Siostrzana rywalizacja pomiędzy Liną Pogromczynią a jej młodszą siostrą Rylai zwaną Crystal Maiden była tematem legend w krainie o umiarkowanym klimacie, w której spędziły wspólnie pełne kłótni dzieciństwo. Jednak to Lina zawsze miała przewagę, ponieważ jej siostra była szczera i naiwna, a ognisty zapał Liny był hartowany przez jej spryt i przebiegłość. Poirytowani rodzice tego niepasującego do siebie rodzeństwa przez lata mieszkali w tuzinie różnych domów, z których niektóre się spaliły, a niektóre zamarzły. W końcu zdali sobie sprawę, że prościej byłoby, gdyby ich dzieci dorastały oddzielnie. Lina jako starsza siostra została odesłana daleko na południe, aby mieszkać z jej cierpliwą ciotką na gorącej Pustyni Bezładu, czyli w klimacie, który doskonale odpowiadał ognistej Pogromczyni. Jej przybycie zrobiło spore wrażenie na ospałych tubylcach, a wielu jej niedoszłych zalotników oparzyło sobie palce albo odeszło ze spalonymi brwiami i pustymi rękoma. Lina jest dumna i pewna siebie, nic nie może złagodzić jej ognia."
"[english]npc_dota_hero_lina_bio"	"The sibling rivalries between Lina the Slayer, and her younger sister Rylai, the Crystal Maiden, were the stuff of legend in the temperate region where they spent their quarrelsome childhoods together. Lina always had the advantage, however, for while Crystal was guileless and naive, Lina's fiery ardor was tempered by cleverness and conniving. The exasperated parents of these incompatible offspring went through half a dozen homesteads, losing one to fire, the next to ice, before they realized life would be simpler if the children were separated. As the oldest, Lina was sent far south to live with a patient aunt in the blazing Desert of Misrule, a climate that proved more than comfortable for the fiery Slayer. Her arrival made quite an impression on the somnolent locals, and more than one would-be suitor scorched his fingers or went away with singed eyebrows, his advances spurned. Lina is proud and confident, and nothing can dampen her flame."
"npc_dota_hero_mirana_bio"	"Mirana, chociaż pochodziła z królewskiej rodziny i była prawną następczynią Słonecznego Tronu, z własnej woli zrzekła się wszelkich roszczeń do tytułów i ziem doczesnych, kiedy całkowicie poświęciła się służbie Selimenie, Bogini Księżyca. Od tamtego czasu znana jest jako Księżycowa Księżniczka i czuwa w świętym Lesie Srebrzystej Nocy, wypatrując śmiałków, którzy odważyliby się zbierać święty świecący lotos ze srebrnych sadzawek w rezerwacie bogini. Jeżdżąc na grzbiecie swego ogromnego kociego towarzysza, jest gotowa, dumna i nieustraszona. Żyje w harmonii z fazami księżyca i obrotami sfer niebieskich. Jej łuk, wykończony ostrymi okruchami z rudy księżycowej, czerpie z energii księżyca, aby napełnić jej strzały świetlistą mocą."
"[english]npc_dota_hero_mirana_bio"	"Born to a royal family, a blood princess next in line for the Solar Throne, Mirana willingly surrendered any claim to mundane land or titles when she dedicated herself completely to the service of Selemene, Goddess of the Moon. Known ever since as Princess of the Moon, Mirana prowls the sacred Nightsilver Woods searching for any who would dare poach the sacred luminous lotus from the silvery pools of the Goddess's preserve. Riding on her enormous feline familiar, she is poised, proud and fearless, attuned to the phases of the moon and the wheeling of the greater constellations. Her bow, tipped with sharp shards of lunar ore, draws on the moon's power to charge its arrows of light."
