"lang"
{
"Language"	"ukrainian"
"Tokens"
{
"DemoOptions_MinimizeButton"	"Параметри демо"
"[english]DemoOptions_MinimizeButton"	"Demo Options"
"Hero_ButtonCategory"	"Герой"
"[english]Hero_ButtonCategory"	"Hero"
"Spawn_ButtonCategory"	"Відродження"
"[english]Spawn_ButtonCategory"	"Spawn"
"Misc_ButtonCategory"	"Налаштувати"
"[english]Misc_ButtonCategory"	"Customize"
"Refresh_Button"	"Оновити"
"[english]Refresh_Button"	"Refresh"
"LevelUp_Button"	"+ Рівень"
"[english]LevelUp_Button"	"Level Up"
"MaxLevel_Button"	"До максимального"
"[english]MaxLevel_Button"	"Level to Max"
"FreeSpells_Button"	"Безкоштовні чари"
"[english]FreeSpells_Button"	"Free Spells"
"Invulnerability_Button"	"Невразливість"
"[english]Invulnerability_Button"	"Invulnerability"
"Enemy_Button"	"Ворог"
"[english]Enemy_Button"	"Enemy"
"LevelUpEnemy_Button"	"+ Рівень ворога"
"[english]LevelUpEnemy_Button"	"Level Up Enemy"
"DummyTarget_Button"	"Манекен"
"[english]DummyTarget_Button"	"Dummy Target"
"SelectCosmetics_Button"	"Надягнути нові предмети"
"[english]SelectCosmetics_Button"	"Equip New Items"
"ChangeHero_Button"	"Обрати нового героя"
"[english]ChangeHero_Button"	"Select New Hero"
"PauseDemo_Button"	"Пауза"
"[english]PauseDemo_Button"	"Pause"
"QuitDemo_Button"	"Вийти"
"[english]QuitDemo_Button"	"Quit"
"addon_game_name"	"Режим демонстрації героя"
"[english]addon_game_name"	"Hero Demo Mode"
"Refresh_Msg"	"Відновлено здоров’я і ману"
"[english]Refresh_Msg"	"Hero Refreshed"
"LevelUp_Msg"	"Рівень героя збільшено"
"[english]LevelUp_Msg"	"Hero Levelled Up"
"MaxLevel_Msg"	"Рівень героя максимальний"
"[english]MaxLevel_Msg"	"Hero Maxed Out"
"FreeSpellsOn_Msg"	"Безкоштовні чари: увімкнено"
"[english]FreeSpellsOn_Msg"	"Free Spells: On"
"FreeSpellsOff_Msg"	"Безкоштовні чари: вимкнено"
"[english]FreeSpellsOff_Msg"	"Free Spells: Off"
"InvulnerabilityOn_Msg"	"Невразливість: увімкнено"
"[english]InvulnerabilityOn_Msg"	"Invulnerability: On"
"InvulnerabilityOff_Msg"	"Невразливість: вимкнено"
"[english]InvulnerabilityOff_Msg"	"Invulnerability: Off"
"SpawnAlly_Msg"	"Додано союзника"
"[english]SpawnAlly_Msg"	"Ally Spawned"
"SpawnEnemy_Msg"	"Додано ворога"
"[english]SpawnEnemy_Msg"	"Enemy Spawned"
"MaxEnemies_Msg"	"Не можна відродити більше ворогів"
"[english]MaxEnemies_Msg"	"Can't spawn more enemies"
"LevelUpEnemy_Msg"	"Рівень ворогів збільшено"
"[english]LevelUpEnemy_Msg"	"Enemies Levelled Up"
"SpawnDummyTarget_Msg"	"Манекен додано"
"[english]SpawnDummyTarget_Msg"	"Dummy Target Spawned"
"RemoveSpawnedUnits_Msg"	"Всі герої прибрані"
"[english]RemoveSpawnedUnits_Msg"	"Removed Spawned Units"
"LaneCreepsOn_Msg"	"Кріпи на лініях: увімкнено"
"[english]LaneCreepsOn_Msg"	"Lane Creeps: On"
"LaneCreepsOff_Msg"	"Кріпи на лініях: вимкнено"
"[english]LaneCreepsOff_Msg"	"Lane Creeps: Off"
"SelectHero_Button"	"Оберіть ворожого героя"
"[english]SelectHero_Button"	"Select Enemy Hero"
"MaxLevelEnemy_Msg"	"Максимальний рівень ворогів"
"[english]MaxLevelEnemy_Msg"	"Maxed Enemy Levels"
"MaxLevelEnemy_Button"	"Макс. рівень ворога"
"[english]MaxLevelEnemy_Button"	"Level Enemy To Max"
}
}
