"dota"
{
"InfoScreenClose"	"Fortsätt"
"[english]InfoScreenClose"	"Continue"
"EndScreenClose"	"Avsluta"
"[english]EndScreenClose"	"Exit"
"basics_alert_TowerDamageTitle"	"Tornet angrips!"
"[english]basics_alert_TowerDamageTitle"	"Incoming Fire!"
"basics_alert_TowerDamageBody"	"Fientliga torn gör mycket skada. Retirera!"
"[english]basics_alert_TowerDamageBody"	"Enemy Towers deal a lot of damage. Retreat!"
"basics_alert_UseTangoTitle"	"Helning"
"[english]basics_alert_UseTangoTitle"	"Healing"
"basics_alert_UseTangoBody"	"Testa att använda Tango för att upprätthålla maximal hälsa."
"[english]basics_alert_UseTangoBody"	"Try using a Tango to keep your health full."
"basics_alert_UseSalveTitle"	"Allvarlig skada"
"[english]basics_alert_UseSalveTitle"	"Heavy Damage"
"basics_alert_UseSalveBody"	"Använd Healing Salve för att hela. Om skada mottas, avbryts den helande effekten."
"[english]basics_alert_UseSalveBody"	"Use a Salve to heal. Taking damage will cancel the healing effect."
"basics_alert_UseClarityTitle"	"Återställ mana"
"[english]basics_alert_UseClarityTitle"	"Restore Mana"
"basics_alert_UseClarityBody"	"Använd Clarity för att återställa mana. Om skada mottas, avbryts den återställande effekten."
"[english]basics_alert_UseClarityBody"	"Use a Clarity to restore mana. Taking damage will cancel the restoring effect."
"basics_alert_FirstDeathTitle"	"Död: Kostnader & återskapning"
"[english]basics_alert_FirstDeathTitle"	"Death: Costs & Respawning"
"basics_alert_FirstDeathBody"	"När du dör, förlorar du en del av ditt guld och hjälten eller hjältarna som är ansvariga för din död får erfarenhet för att bli starkare.\n\nDu återskapas i ditt lags fontän när dödstiden går ut. Du kan se din dödstid under ditt hjälteporträtt på den övre delen av skärmen.\n\n"
"[english]basics_alert_FirstDeathBody"	"When you die, you will lose a portion of your gold, and the hero or heroes responsible for your death earn experience to become stronger.\n\nYou will respawn at your team's fountain when your death timer ends. You can see your death timer beneath your hero's portrait at the top of the screen."
"basics_alert_SecondDeathTitle"	"Död: Retirera vid fara"
"[english]basics_alert_SecondDeathTitle"	"Death: Retreat When in Danger"
"basics_alert_SecondDeathBody"	"Tänk på var du placerar din hjälte. Om ett torn, en hjälte eller ett fientligt creep attackerar dig, överväg att retirera.\n\nJu högre nivå en hjälte är, desto längre är hen död."
"[english]basics_alert_SecondDeathBody"	"Take care where you place your hero. If a Tower, hero, or enemy creep begins attacking you, consider retreating.\n\nEach level gained increases how long a hero remains dead."
"basics_alert_RespawnTitle"	"Återskapas snart"
"[english]basics_alert_RespawnTitle"	"Respawning Soon"
"basics_alert_RespawnBody"	"Din hjälte återskapas snart i ditt lags fontän.\n\nFörsök att komma tillbaka till striden snabbt!"
"[english]basics_alert_RespawnBody"	"Your hero will respawn at your team's fountain in a moment.\n\nTry to get back into battle quickly!"
"basics_alert_TangoUsageTitle"	"Använder en Tango"
"[english]basics_alert_TangoUsageTitle"	"Using a Tango"
