"lang"
{
"Language"	"french"
"Tokens"
{
"addon_game_name"	"Siltbreaker"
"[english]addon_game_name"	"Siltbreaker"
"DOTA_GameMode_15"	"Siltbreaker"
"[english]DOTA_GameMode_15"	"Siltbreaker"
"DOTA_GameMode_19"	"Siltbreaker"
"[english]DOTA_GameMode_19"	"Siltbreaker"
"DOTA_Tooltip_Ability_item_health_potion"	"Potion de santé"
"[english]DOTA_Tooltip_Ability_item_health_potion"	"Health Potion"
"DOTA_Tooltip_Ability_item_mana_potion"	"Potion de mana"
"[english]DOTA_Tooltip_Ability_item_mana_potion"	"Mana Potion"
"DOTA_Tooltip_ability_item_bag_of_gold"	"Sac d'or"
"[english]DOTA_Tooltip_ability_item_bag_of_gold"	"Bag of Gold"
"DOTA_Tooltip_Ability_item_life_rune"	"Life Rune"
"[english]DOTA_Tooltip_Ability_item_life_rune"	"Life Rune"
"DOTA_Tooltip_ability_item_book_of_strength"	"Book of Strength"
"[english]DOTA_Tooltip_ability_item_book_of_strength"	"Book of Strength"
"DOTA_Tooltip_ability_item_book_of_strength_Description"	"Accorde une augmentation permanente de 3 points de force une fois consommé."
"[english]DOTA_Tooltip_ability_item_book_of_strength_Description"	"Consume to gain 3 Strength permanently."
"DOTA_Tooltip_ability_item_book_of_agility"	"Book of Agility"
"[english]DOTA_Tooltip_ability_item_book_of_agility"	"Book of Agility"
"DOTA_Tooltip_ability_item_book_of_agility_Description"	"Accorde une augmentation permanente de 3 points d’agilité une fois consommé."
"[english]DOTA_Tooltip_ability_item_book_of_agility_Description"	"Consume to gain 3 Agility permanently."
"DOTA_Tooltip_ability_item_book_of_intelligence"	"Book of Intelligence"
"[english]DOTA_Tooltip_ability_item_book_of_intelligence"	"Book of Intelligence"
"DOTA_Tooltip_ability_item_book_of_intelligence_Description"	"Accorde une augmentation permanente de 3 points d'intelligence une fois consommé."
"[english]DOTA_Tooltip_ability_item_book_of_intelligence_Description"	"Consume to gain 3 Intelligence permanently."
"DOTA_Tooltip_ability_item_creed_of_omniscience"	"<font color=\"#4ae0bf\">Creed of Omniscience</font>"
"[english]DOTA_Tooltip_ability_item_creed_of_omniscience"	"<font color=\"#4ae0bf\">Creed of Omniscience</font>"
"DOTA_Tooltip_ability_item_creed_of_omniscience_Description"	"Niveau requis : %required_level%\n\nPassif : accorde de l'expérience bonus.\n"
"[english]DOTA_Tooltip_ability_item_creed_of_omniscience_Description"	"Required Level: %required_level%\n\nPassive: Grants bonus experience.\n"
"DOTA_Tooltip_ability_item_creed_of_omniscience_bonus_xp"	"%XP BONUS :"
"[english]DOTA_Tooltip_ability_item_creed_of_omniscience_bonus_xp"	"%BONUS XP:"
"DOTA_Tooltip_ability_item_creed_of_omniscience_Lore"	"L'omniscience m'honore !"
"[english]DOTA_Tooltip_ability_item_creed_of_omniscience_Lore"	"The Omniscience honors me!"
"DOTA_Tooltip_ability_item_oblivions_locket"	"<font color=\"#4ae0bf\">Oblivion's Locket</font>"
"[english]DOTA_Tooltip_ability_item_oblivions_locket"	"<font color=\"#4ae0bf\">Oblivion's Locket</font>"
"DOTA_Tooltip_ability_item_oblivions_locket_Description"	"Niveau requis : %required_level%\n\nActif : Spook - CANALISÉ - Vous devenez une forme éthérée immune aux dégâts physiques mais subissant %extra_spell_damage_percent%%% de dégâts magiques supplémentaires pendant 1 seconde.\n"
"[english]DOTA_Tooltip_ability_item_oblivions_locket_Description"	"Required Level: %required_level%\n\nActive: Spook - CHANNELLED - Become ethereal, immune to physical but taking %extra_spell_damage_percent%%% extra magic damage for up to 1 second.\n"
"DOTA_Tooltip_ability_item_oblivions_locket_bonus_all_stats"	"BONUS POUR TOUS LES ATTRIBUTS :"
"[english]DOTA_Tooltip_ability_item_oblivions_locket_bonus_all_stats"	"BONUS ALL STATS:"
"DOTA_Tooltip_ability_item_oblivions_locket_Lore"	"Un sort de squelette. Utilisé pour surmonter les difficultés momentanées."
"[english]DOTA_Tooltip_ability_item_oblivions_locket_Lore"	"A skeleton's charm. Used to prevent having a bad time."
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf"	"<font color=\"#4ae0bf\">Pelt of the Old Wolf</font>"
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf"	"<font color=\"#4ae0bf\">Pelt of the Old Wolf</font>"
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_Description"	"Niveau requis : %required_level%"
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_Description"	"Required Level: %required_level%"
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_Lore"	"La nature peut être se révéler perfide ; restez sur vos gardes."
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_Lore"	"The wild can be a treachorous place; don't let your guard down."
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_armor"	"ARMURE BONUS :"
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_armor"	"BONUS ARMOR:"
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_move_speed"	"VITESSE DE DÉPLACEMENT BONUS :"
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_move_speed"	"BONUS MOVE SPEED:"
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_evasion"	"%ÉVASION BONUS :"
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_evasion"	"%BONUS EVASION:"
"DOTA_Tooltip_ability_item_paw_of_lucius"	"<font color=\"#4ae0bf\">Paw of Lucius</font>"
"[english]DOTA_Tooltip_ability_item_paw_of_lucius"	"<font color=\"#4ae0bf\">Paw of Lucius</font>"
"DOTA_Tooltip_ability_item_paw_of_lucius_Description"	"Niveau requis : %required_level%\n\nPassif : les attaques ont %rupture_chance%%% de chance d'appliquer Rupture.\n"
"[english]DOTA_Tooltip_ability_item_paw_of_lucius_Description"	"Required Level: %required_level%\n\nPassive: Attacks have a %rupture_chance%%% chance to inflict Rupture.\n"
"DOTA_Tooltip_ability_item_paw_of_lucius_Lore"	"Cette griffe inflige des blessures profondes."
"[english]DOTA_Tooltip_ability_item_paw_of_lucius_Lore"	"This claw cuts deep."
"DOTA_Tooltip_ability_item_paw_of_lucius_bonus_strength"	"FORCE BONUS :"
"[english]DOTA_Tooltip_ability_item_paw_of_lucius_bonus_strength"	"BONUS STRENGTH:"
"DOTA_Tooltip_ability_item_paw_of_lucius_bonus_attack_speed"	"VITESSE D'ATTAQUE BONUS :"
"[english]DOTA_Tooltip_ability_item_paw_of_lucius_bonus_attack_speed"	"BONUS ATTACK SPEED:"
"DOTA_Tooltip_ability_item_longclaws_amulet"	"<font color=\"#4ae0bf\">Longclaw's Amulet</font>"
"[english]DOTA_Tooltip_ability_item_longclaws_amulet"	"<font color=\"#4ae0bf\">Longclaw's Amulet</font>"
"DOTA_Tooltip_ability_item_longclaws_amulet_Description"	"Niveau requis : %required_level%\n"
"[english]DOTA_Tooltip_ability_item_longclaws_amulet_Description"	"Required Level: %required_level%\n"
"DOTA_Tooltip_ability_item_longclaws_amulet_Lore"	"L'usage de la magie est peu répandu dans le Howling Weald. Ses secrets sont très bien gardés."
"[english]DOTA_Tooltip_ability_item_longclaws_amulet_Lore"	"Magic is somewhat uncommon in the Weald, its secrets closely guarded."
"DOTA_Tooltip_ability_item_longclaws_amulet_spell_lifesteal_pct"	"%SPELL LIFESTEAL :"
"[english]DOTA_Tooltip_ability_item_longclaws_amulet_spell_lifesteal_pct"	"%SPELL LIFESTEAL:"
"DOTA_Tooltip_ability_item_longclaws_amulet_cooldown_reduction_pct"	"%RÉDUCTION DU TEMPS DE RECHARGE :"
"[english]DOTA_Tooltip_ability_item_longclaws_amulet_cooldown_reduction_pct"	"%COOLDOWN REDUCTION:"
"DOTA_Tooltip_ability_item_longclaws_amulet_mana_cost_reduction_pct"	"%RÉDUCTION DU COÛT EN MANA :"
"[english]DOTA_Tooltip_ability_item_longclaws_amulet_mana_cost_reduction_pct"	"%MANA COST REDUCTION:"
"DOTA_Tooltip_ability_item_bogduggs_cudgel"	"<font color=\"#4ae0bf\">Bogdugg's Cudgel</font>"
"[english]DOTA_Tooltip_ability_item_bogduggs_cudgel"	"<font color=\"#4ae0bf\">Bogdugg's Cudgel</font>"
"DOTA_Tooltip_ability_item_bogduggs_cudgel_Description"	"Niveau requis : %required_level%\n\nPassif : Smash - CORPS-À-CORPS UNIQUEMENT - Votre vitesse d'attaque est diminuée de moitié, mais vos attaques infligent des dégâts dans une zone de %damage_radius% autour de la cible et étourdissent les ennemis pendant %stun_duration% seconde.\n"
