"lang"
{
	"Language"		"English"
	"Tokens"
	{		
		"addon_game_name"													"Siltbreaker"
		"DOTA_GameMode_15"													"Siltbreaker"
		"DOTA_GameMode_19"													"Siltbreaker"

		"DOTA_Tooltip_Ability_item_health_potion"							"Health Potion"
		"DOTA_Tooltip_Ability_item_mana_potion"								"Mana Potion"	
		"DOTA_Tooltip_ability_item_bag_of_gold"								"Bag of Gold"
		"DOTA_Tooltip_Ability_item_life_rune"								"Life Rune"
		"DOTA_Tooltip_Ability_item_bag_of_artifact_coins"					"Artifact Coins"
		"DOTA_Tooltip_ability_item_book_of_strength"						"Book of Strength"
		"DOTA_Tooltip_ability_item_book_of_strength_Description"			"Consume to gain 3 Strength permanently."
		"DOTA_Tooltip_ability_item_book_of_agility"							"Book of Agility"
		"DOTA_Tooltip_ability_item_book_of_agility_Description"				"Consume to gain 3 Agility permanently."
		"DOTA_Tooltip_ability_item_book_of_intelligence"					"Book of Intelligence"
		"DOTA_Tooltip_ability_item_book_of_intelligence_Description"		"Consume to gain 3 Intelligence permanently."
		
		"DOTA_Tooltip_ability_item_creed_of_omniscience"					"<font color=\"#4ae0bf\">Creed of Omniscience</font>"
		"DOTA_Tooltip_ability_item_creed_of_omniscience_Description"		"Required Level: %required_level%\n\nPassive: Grants bonus experience.\n"
		"DOTA_Tooltip_ability_item_creed_of_omniscience_bonus_xp"			"%BONUS XP:"
		"DOTA_Tooltip_ability_item_creed_of_omniscience_Lore"				"The Omniscience honors me!"
		
		"DOTA_Tooltip_ability_item_oblivions_locket"						"<font color=\"#4ae0bf\">Oblivion's Locket</font>"
		"DOTA_Tooltip_ability_item_oblivions_locket_Description"			"Required Level: %required_level%\n\nActive: Spook - CHANNELLED - Become ethereal, immune to physical but taking %extra_spell_damage_percent%%% extra magic damage for up to 1 second.\n"
		"DOTA_Tooltip_ability_item_oblivions_locket_bonus_all_stats"		"BONUS ALL STATS:"
		"DOTA_Tooltip_ability_item_oblivions_locket_Lore"					"A skeleton's charm. Used to prevent having a bad time."

		"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf"					"<font color=\"#4ae0bf\">Pelt of the Old Wolf</font>"
		"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_Description"		"Required Level: %required_level%"
		"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_Lore"				"The wild can be a treachorous place; don't let your guard down."
		"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_armor"		"BONUS ARMOR:"
		"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_move_speed"	"BONUS MOVE SPEED:"
		"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_evasion"		"%BONUS EVASION:"

		"DOTA_Tooltip_ability_item_paw_of_lucius"							"<font color=\"#4ae0bf\">Paw of Lucius</font>"
		"DOTA_Tooltip_ability_item_paw_of_lucius_Description"				"Required Level: %required_level%\n\nPassive: Attacks have a %rupture_chance%%% chance to inflict Rupture.\n"
		"DOTA_Tooltip_ability_item_paw_of_lucius_Lore"						"This claw cuts deep."
		"DOTA_Tooltip_ability_item_paw_of_lucius_bonus_strength"			"BONUS STRENGTH:"
		"DOTA_Tooltip_ability_item_paw_of_lucius_bonus_attack_speed"		"BONUS ATTACK SPEED:"

		"DOTA_Tooltip_ability_item_longclaws_amulet"						"<font color=\"#4ae0bf\">Longclaw's Amulet</font>"
		"DOTA_Tooltip_ability_item_longclaws_amulet_Description"			"Required Level: %required_level%\n"
		"DOTA_Tooltip_ability_item_longclaws_amulet_Lore"					"Magic is somewhat uncommon in the Weald, its secrets closely guarded."
		"DOTA_Tooltip_ability_item_longclaws_amulet_spell_lifesteal_pct"	"%SPELL LIFESTEAL:"
		"DOTA_Tooltip_ability_item_longclaws_amulet_cooldown_reduction_pct"	"%COOLDOWN REDUCTION:"
		"DOTA_Tooltip_ability_item_longclaws_amulet_mana_cost_reduction_pct" "%MANA COST REDUCTION:"

		"DOTA_Tooltip_ability_item_bogduggs_cudgel"							"<font color=\"#4ae0bf\">Bogdugg's Cudgel</font>"
		"DOTA_Tooltip_ability_item_bogduggs_cudgel_Description"				"Required Level: %required_level%\n\nPassive: Smash - MELEE ONLY - All attack speed is halved, but attacks deal splash damage in a %damage_radius% area around the target and stun for %stun_duration% second.\n"
		"DOTA_Tooltip_ability_item_bogduggs_cudgel_Lore"					"Bogdugg came to lord over Bonemeal Ridge by carrying the biggest stick."
		"DOTA_Tooltip_ability_item_bogduggs_cudgel_bonus_strength"			"BONUS STRENGTH:"
		"DOTA_Tooltip_ability_item_bogduggs_cudgel_bonus_damage"			"BONUS DAMAGE:"

		"DOTA_Tooltip_ability_item_bogduggs_baldric"						"<font color=\"#4ae0bf\">Bogdugg's Baldric</font>"
		"DOTA_Tooltip_ability_item_bogduggs_baldric_Description"			"Required Level: %required_level%\n"
		"DOTA_Tooltip_ability_item_bogduggs_baldric_Lore"					"Running's not as fun as hitting.  Not one bit."
		"DOTA_Tooltip_ability_item_bogduggs_baldric_bonus_armor"			"BONUS ARMOR:"
		"DOTA_Tooltip_ability_item_bogduggs_baldric_disable_resist_pct"		"%STUN DURATION REDUCTION:"
		"DOTA_Tooltip_ability_item_bogduggs_baldric_move_speed_penalty"		"MOVE SPEED REDUCTION:"

		"DOTA_Tooltip_ability_item_bogduggs_lucky_femur"						"<font color=\"#4ae0bf\">Bogdugg's Lucky Femur</font>"
		"DOTA_Tooltip_ability_item_bogduggs_lucky_femur_Description"			"Required Level: %required_level%\n\nPassive: Skillshot - After an ability is cast, it has a %refresh_pct%%% chance to be immediately refreshed.\n"
		"DOTA_Tooltip_ability_item_bogduggs_lucky_femur_Lore"					"And another!"
		"DOTA_Tooltip_ability_item_bogduggs_lucky_femur_max_mana_penalty"		"MAX MANA REDUCTION:"
		"DOTA_Tooltip_ability_item_bogduggs_lucky_femur_intelligence_penalty"	"INTELLIGENCE REDUCTION:"
		"DOTA_Tooltip_ability_item_bogduggs_lucky_femur_mana_regen_sec"			"BONUS MANA REGEN:"

		"DOTA_Tooltip_ability_item_sign_of_the_arachnid"						"<font color=\"#4ae0bf\">Sign of the Arachnid</font>"
		"DOTA_Tooltip_ability_item_sign_of_the_arachnid_Description"			"Required Level: %required_level%\n\nPassive: Arachnid Aura - Allies gain bonus movement and attack speed."
		"DOTA_Tooltip_ability_item_sign_of_the_arachnid_Lore"					"An ominous mark bestowed upon followers of the Silken Path."
		"DOTA_Tooltip_ability_item_sign_of_the_arachnid_bonus_agility"			"BONUS AGILITY:"
		"DOTA_Tooltip_ability_item_sign_of_the_arachnid_bonus_move_speed_pct"	"%AURA BONUS MOVE SPEED:"
		"DOTA_Tooltip_ability_item_sign_of_the_arachnid_attack_speed"			"AURA BONUS ATTACK SPEED:"

		"DOTA_Tooltip_modifier_item_sign_of_the_arachnid_effect"				"Arachnid Aura"
		"DOTA_Tooltip_modifier_item_sign_of_the_arachnid_effect_Description"	"Gaining bonus movement and attack speed."

		"DOTA_Tooltip_ability_item_unhallowed_icon"								"<font color=\"#4ae0bf\">Unhallowed Icon</font>"
		"DOTA_Tooltip_ability_item_unhallowed_icon_Description"					"Required Level: %required_level%\n\nPassive: Bloodbond Aura - Allies gain bonus health regeneration. When any unit affected by Unhallowed Icon attacks, %lifesteal_pct%%% of the damage dealt is stolen as life and distributed among all affected by the aura."
		"DOTA_Tooltip_ability_item_unhallowed_icon_Lore"						"An Icon borne by the protected of the underworld."
		"DOTA_Tooltip_ability_item_unhallowed_icon_bonus_strength"				"BONUS STRENGTH:"
		"DOTA_Tooltip_ability_item_unhallowed_icon_lifesteal_pct"				"%AURA LINKED LIFESTEAL:"
		"DOTA_Tooltip_ability_item_unhallowed_icon_hp_regen"					"AURA HP REGEN:"

		"DOTA_Tooltip_modifier_item_unhallowed_icon_effect"						"Bloodbond Aura"
		"DOTA_Tooltip_modifier_item_unhallowed_icon_effect_Description"			"Gaining bonus HP regen. Physical attacks steal life and distribute it among others affected by Bloodbond Aura."

		"DOTA_Tooltip_ability_item_preserved_skull"								"<font color=\"#4ae0bf\">Preserved Skull</font>"
		"DOTA_Tooltip_ability_item_preserved_skull_Description"					"Required Level: %required_level%\n\nPassive: Conjuration Aura - Allies gain bonus mana regen and cooldown reduction."
		"DOTA_Tooltip_ability_item_preserved_skull_Lore"						"Where be your gibes now?"
		"DOTA_Tooltip_ability_item_preserved_skull_bonus_intelligence"			"BONUS INTELLIGENCE:"
		"DOTA_Tooltip_ability_item_preserved_skull_cooldown_reduction_pct"		"%AURA COOLDOWN REDUCTION:"
		"DOTA_Tooltip_ability_item_preserved_skull_aura_mana_regen"				"AURA MANA REGEN:"

