"lang"
{
"Language"	"brazilian"
"Tokens"
{
"addon_game_name"	"Quebralama"
"[english]addon_game_name"	"Siltbreaker"
"DOTA_GameMode_15"	"Quebralama"
"[english]DOTA_GameMode_15"	"Siltbreaker"
"DOTA_GameMode_19"	"Quebralama"
"[english]DOTA_GameMode_19"	"Siltbreaker"
"DOTA_Tooltip_Ability_item_health_potion"	"Poção de Vida"
"[english]DOTA_Tooltip_Ability_item_health_potion"	"Health Potion"
"DOTA_Tooltip_Ability_item_mana_potion"	"Poção de Mana"
"[english]DOTA_Tooltip_Ability_item_mana_potion"	"Mana Potion"
"DOTA_Tooltip_ability_item_bag_of_gold"	"Bolsa de Ouro"
"[english]DOTA_Tooltip_ability_item_bag_of_gold"	"Bag of Gold"
"DOTA_Tooltip_Ability_item_life_rune"	"Runa de Vida"
"[english]DOTA_Tooltip_Ability_item_life_rune"	"Life Rune"
"DOTA_Tooltip_ability_item_book_of_strength"	"Livro de Força"
"[english]DOTA_Tooltip_ability_item_book_of_strength"	"Book of Strength"
"DOTA_Tooltip_ability_item_book_of_strength_Description"	"Em inglês: <font color='#F2A93E'>Book of Strength</font>\n \nFornece um bônus permanente de 3 de Força quando consumido."
"[english]DOTA_Tooltip_ability_item_book_of_strength_Description"	"Consume to gain 3 Strength permanently."
"DOTA_Tooltip_ability_item_book_of_agility"	"Livro de Agilidade"
"[english]DOTA_Tooltip_ability_item_book_of_agility"	"Book of Agility"
"DOTA_Tooltip_ability_item_book_of_agility_Description"	"Em inglês: <font color='#F2A93E'>Book of Agility</font>\n \nFornece um bônus permanente de 3 de Agilidade quando consumido."
"[english]DOTA_Tooltip_ability_item_book_of_agility_Description"	"Consume to gain 3 Agility permanently."
"DOTA_Tooltip_ability_item_book_of_intelligence"	"Livro de Inteligência"
"[english]DOTA_Tooltip_ability_item_book_of_intelligence"	"Book of Intelligence"
"DOTA_Tooltip_ability_item_book_of_intelligence_Description"	"Em inglês: <font color='#F2A93E'>Book of Intelligence</font>\n \nFornece um bônus permanente de 3 de Inteligência quando consumido."
"[english]DOTA_Tooltip_ability_item_book_of_intelligence_Description"	"Consume to gain 3 Intelligence permanently."
"DOTA_Tooltip_ability_item_creed_of_omniscience"	"<font color=\"#4ae0bf\">Credo da Onisciência</font>"
"[english]DOTA_Tooltip_ability_item_creed_of_omniscience"	"<font color=\"#4ae0bf\">Creed of Omniscience</font>"
"DOTA_Tooltip_ability_item_creed_of_omniscience_Description"	"Em inglês: <font color='#F2A93E'>Creed of Omniscience</font>\n \nRequer nível: %required_level%\n\nPassivo: Fornece experiência adicional.\n"
"[english]DOTA_Tooltip_ability_item_creed_of_omniscience_Description"	"Required Level: %required_level%\n\nPassive: Grants bonus experience.\n"
"DOTA_Tooltip_ability_item_creed_of_omniscience_bonus_xp"	"%EXP ADICIONAL:"
"[english]DOTA_Tooltip_ability_item_creed_of_omniscience_bonus_xp"	"%BONUS XP:"
"DOTA_Tooltip_ability_item_creed_of_omniscience_Lore"	"A Onisciência me honra!"
"[english]DOTA_Tooltip_ability_item_creed_of_omniscience_Lore"	"The Omniscience honors me!"
"DOTA_Tooltip_ability_item_oblivions_locket"	"<font color=\"#4ae0bf\">Medalhão do Esquecimento</font>"
"[english]DOTA_Tooltip_ability_item_oblivions_locket"	"<font color=\"#4ae0bf\">Oblivion's Locket</font>"
"DOTA_Tooltip_ability_item_oblivions_locket_Description"	"Em inglês: <font color='#F2A93E'>Oblivion's Locket</font>\n \nRequer nível: %required_level%\n\nAtivo: Espectro — CANALIZADO — Torna-se etéreo, imune a dano físico, mas sofre mais %extra_spell_damage_percent%%% de dano mágico por até 1 segundo.\n"
"[english]DOTA_Tooltip_ability_item_oblivions_locket_Description"	"Required Level: %required_level%\n\nActive: Spook - CHANNELLED - Become ethereal, immune to physical but taking %extra_spell_damage_percent%%% extra magic damage for up to 1 second.\n"
"DOTA_Tooltip_ability_item_oblivions_locket_bonus_all_stats"	"ATRIBUTOS ADICIONAIS:"
"[english]DOTA_Tooltip_ability_item_oblivions_locket_bonus_all_stats"	"BONUS ALL STATS:"
"DOTA_Tooltip_ability_item_oblivions_locket_Lore"	"O amuleto de um esqueleto. Usado para evitar passar por maus lençóis."
"[english]DOTA_Tooltip_ability_item_oblivions_locket_Lore"	"A skeleton's charm. Used to prevent having a bad time."
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf"	"<font color=\"#4ae0bf\">Pele do Velho Lobo</font>"
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf"	"<font color=\"#4ae0bf\">Pelt of the Old Wolf</font>"
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_Description"	"Em inglês: <font color='#F2A93E'>Pelt of the Old Wolf</font>\n \nRequer nível: %required_level%"
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_Description"	"Required Level: %required_level%"
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_Lore"	"A selva pode ser um lugar traiçoeiro; nunca baixe a guarda."
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_Lore"	"The wild can be a treachorous place; don't let your guard down."
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_armor"	"ARMADURA ADICIONAL:"
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_armor"	"BONUS ARMOR:"
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_move_speed"	"VELOCIDADE DE MOVIMENTO ADICIONAL:"
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_move_speed"	"BONUS MOVE SPEED:"
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_evasion"	"%ESQUIVA ADICIONAL:"
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_evasion"	"%BONUS EVASION:"
"DOTA_Tooltip_ability_item_paw_of_lucius"	"<font color=\"#4ae0bf\">Garra de Lucius</font>"
"[english]DOTA_Tooltip_ability_item_paw_of_lucius"	"<font color=\"#4ae0bf\">Paw of Lucius</font>"
"DOTA_Tooltip_ability_item_paw_of_lucius_Description"	"Em inglês: <font color='#F2A93E'>Paw of Lucius</font>\n \nRequer nível: %required_level%\n\nPassivo: Ataques têm %rupture_chance%%% de chance de causar uma Ruptura.\n"
"[english]DOTA_Tooltip_ability_item_paw_of_lucius_Description"	"Required Level: %required_level%\n\nPassive: Attacks have a %rupture_chance%%% chance to inflict Rupture.\n"
"DOTA_Tooltip_ability_item_paw_of_lucius_Lore"	"Essa garra tem um corte profundo."
"[english]DOTA_Tooltip_ability_item_paw_of_lucius_Lore"	"This claw cuts deep."
"DOTA_Tooltip_ability_item_paw_of_lucius_bonus_strength"	"FORÇA ADICIONAL:"
"[english]DOTA_Tooltip_ability_item_paw_of_lucius_bonus_strength"	"BONUS STRENGTH:"
"DOTA_Tooltip_ability_item_paw_of_lucius_bonus_attack_speed"	"VELOCIDADE DE ATAQUE ADICIONAL:"
"[english]DOTA_Tooltip_ability_item_paw_of_lucius_bonus_attack_speed"	"BONUS ATTACK SPEED:"
"DOTA_Tooltip_ability_item_longclaws_amulet"	"<font color=\"#4ae0bf\">Amuleto de Garralonga</font>"
"[english]DOTA_Tooltip_ability_item_longclaws_amulet"	"<font color=\"#4ae0bf\">Longclaw's Amulet</font>"
"DOTA_Tooltip_ability_item_longclaws_amulet_Description"	"Em inglês: <font color='#F2A93E'>Longclaw's Amulet</font>\n \nRequer nível: %required_level%\n"
"[english]DOTA_Tooltip_ability_item_longclaws_amulet_Description"	"Required Level: %required_level%\n"
"DOTA_Tooltip_ability_item_longclaws_amulet_Lore"	"Magia é algo incomum na Mata, os seus segredos são guardados com cuidado."
"[english]DOTA_Tooltip_ability_item_longclaws_amulet_Lore"	"Magic is somewhat uncommon in the Weald, its secrets closely guarded."
"DOTA_Tooltip_ability_item_longclaws_amulet_spell_lifesteal_pct"	"%ROUBO DE VIDA MÁGICO:"
"[english]DOTA_Tooltip_ability_item_longclaws_amulet_spell_lifesteal_pct"	"%SPELL LIFESTEAL:"
"DOTA_Tooltip_ability_item_longclaws_amulet_cooldown_reduction_pct"	"%REDUÇÃO DE INTERVALO:"
"[english]DOTA_Tooltip_ability_item_longclaws_amulet_cooldown_reduction_pct"	"%COOLDOWN REDUCTION:"
"DOTA_Tooltip_ability_item_longclaws_amulet_mana_cost_reduction_pct"	"%REDUÇÃO DE CUSTO DE MANA:"
"[english]DOTA_Tooltip_ability_item_longclaws_amulet_mana_cost_reduction_pct"	"%MANA COST REDUCTION:"
"DOTA_Tooltip_ability_item_bogduggs_cudgel"	"<font color=\"#4ae0bf\">Clava de Bogdugg</font>"
